city_death,death_rate_14,death_rate_15,death_rate_16,death_rate_17,death_rate_18,over_65_prop,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop
ABINGTON,0,3.705500904318673,0.616007392088705,1.8433179723502304,3.064396095083833,0.15170506912442397,5.405642963874484,0.03575398295665061,0.10040755835494627
ACTON,0.4386184771166475,0.8689013983106074,1.2910841417979269,0,0.42240942335079296,0.17058196546578555,2.456531155250294,0.03831466941262282,0.04174711460076372
ACUSHNET,0,3.8450446986446214,1.9188333493236112,3.8303169587283348,0,0.23278751316671453,18.297314996725607,0.040828173374613,0.17840557275541796
ADAMS,2.4014134033173815,3.6191296854803965,1.2121002233727554,0,4.894848172298656,0.21483375959079284,11.862182116488926,0.11085394079668656,0.1445973931051285
AGAWAM,0.3609382331557861,0.7213260032871855,0,1.4404551838380928,2.8787185589957387,0.22309049659692462,7.748863306568637,0.09481894150417827,0.14265552460538533
ALFORD,0,0,0,0,0,0.5328467153284672,1.4534883720930232,0.04866180048661801,0.024330900243309004
AMESBURY,0,3.539644012944984,0.5853283273824953,2.3231501916598907,3.457900066688073,0.17127424788012546,5.751708428246014,0.04914077212806026,0.09021892655367232
AMHERST,0.25643186055968087,0.2545102858514096,0.7578518868707573,0.25075225677031093,0.49782910949040077,0.08688565697091274,4.992163009404389,0.3322599779679688,0.14867384119989832
ANDOVER,1.4516617379294328,0.5754756923178105,0.8555679137587543,0.5653710247349824,0.5604506022842365,0.16624734982332157,2.6285172577239626,0.04442355153367023,0.044012222352802916
AQUINNAH,0,0,0,0,0,0.103125,9.667673716012084,0.2171875,0.05
ARLINGTON,1.1345218800648298,0.901341711519147,0.4475760559597949,0.22226173541963018,0.44151224250375287,0.18243243243243243,2.9699689749691256,0.05175770323793327,0.0668620913423885
ASHBURNHAM,0,1.6199203924835694,1.615098867123509,0,0,0.1249597423510467,2.8346068523539563,0.047760210803689064,0.06538208168642952
ASHBY,3.1815289519134624,0,0,3.1298904538341157,0,0.15524256651017215,8.383233532934131,0.07855559075071271,0.06208425720620843
ASHFIELD,0,0,0,0,6.336561962523763,0.2127659574468085,2.4271844660194173,0.0769712140175219,0.10763454317897372
ASHLAND,0,0.5805467091295116,1.152633355562691,1.1442956860052638,0,0.16838311019567456,3.7690263348634936,0.03184347925870675,0.0730965631992656
ATHOL,1.718381775333857,1.7163593566104351,3.4286833855799372,4.280821917808219,8.551602814698983,0.18801369863013698,12.699350265800355,0.1470894874022589,0.16550825369244135
ATTLEBORO,3.408172473002405,3.8534272835604373,5.201115170780716,9.024049090827054,3.601112486536019,0.15686053332130126,10.879245896310742,0.09160636427968133,0.1302075010843016
AUBURN,0.6099048548426446,0,0,0.6041565973900435,0.6022645145748012,0.2210608989850169,6.791185385434587,0.04602942964854676,0.09175483400218898
AVON,4.524886877828054,0,2.2461814914645104,2.2381378692927485,4.460303300624442,0.1833034914950761,13.286093888396811,0.08482542524619517,0.08034914950760967
AYER,2.5765132414376946,1.2744883839487289,12.610113310875322,3.743448964312453,2.4697891858516363,0.1375093586224108,4.497398892431616,0.13423322084739409,0.0804899387576553
BARNSTABLE,4.250844575698593,5.608776613645032,6.749308195909919,5.188945290468133,7.69213366213434,0.26777213761985336,5.257753752302721,0.09114004445855828,0.14578324184548383
BARRE,0,0,0,0,1.8167661562418895,0.13695137497723547,4.329349269588313,0.057212076034289974,0.11647409616101378
BECKET,0,5.461070369792479,0,0,0,0.22732181425485962,6.639288158795345,0.06924754634678298,0.0916030534351145
BEDFORD,0.7262917617763021,0.7204240209952143,1.4293006636038796,1.4179369018078696,0.7033762057877813,0.21822048918823111,2.3693803159173754,0.025362582902120838,0.07900298812039938
BELCHERTOWN,0.67586486564772,0,0.6725272613729164,2.012612370857373,4.015334754634366,0.18254394203676372,6.400318028225005,0.0576884150867013,0.09621483030834627
BELLINGHAM,1.1995338954006443,1.1934293191485734,0.5936932810883245,0.59070234508831,1.1754827875734677,0.13763364640557624,6.006031160998492,0.04181579575280363,0.0587568599379623
BELMONT,0.39315461647767164,0.3904441581187285,0.3877708163683601,0.770267668014635,0.3825324742746911,0.19291353745426534,3.4898582939705474,0.05527012299548498,0.0535575276350615
BERKLEY,1.5299543199353047,0,3.030893464094737,3.0165912518853695,1.501211692294495,0.1277526395173454,6.329386437029063,0.03928085813567004,0.09276325728962079
BERLIN,0,3.2984638582602956,0,0,0,0.19819238218205293,6.247269550021843,0.028877352368591822,0.08208955223880597
BERNARDSTON,0,0,0,0,0,0.2430167597765363,2.406738868832732,0.035381750465549346,0.2206703910614525
BEVERLY,2.9553530591422437,3.424669501920261,6.803476715448057,4.103207742994376,2.8772444219136415,0.18073423282083464,5.6848089272555,0.08261729938030517,0.12794875800656147
BILLERICA,1.4388834264610662,1.6641704110500917,2.121290687533882,1.8695520085999393,1.853782875680686,0.1723493257928069,7.437693435412934,0.042882969748101726,0.07151982644329276
BLACKSTONE,0,1.0927767457108513,3.2693984306887534,1.0868383871318334,0,0.134550592326921,5.818931346123355,0.03982542280414621,0.08292416803055101
BLANDFORD,0,0,0,0,0,0.24305003971405878,10.623084780388151,0.07069102462271644,0.1556791104050834
BOLTON,0,0,1.9499150394161395,1.9353590090961874,0,0.13857170505128702,1.2813046010483402,0.013934584865492549,0.03657828527191794
BOSTON,2.583585282625223,3.456858860298544,3.9173759933346264,4.173266860222484,3.6246617334633,0.12720237053524017,13.941736093625128,0.2051539801511834,0.15864350438687613
