city_death,2014,2015,2016,2017,2018,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,tot_pop_18
HULL,1,4,3,6,3,7651.428571428572,7668.285714285715,7685.142857142857,7702,7718.857142857143
HUNTINGTON,0,0,0,0,1,2064,2035,2006,1977,1948
IPSWICH,3,3,2,4,4,11103.57142857143,11149.714285714286,11195.857142857143,11242,11288.142857142857
KINGSTON,1,1,0,5,2,12961,13044,13127,13210,13293
LAKEVILLE,0,0,1,1,1,11844.857142857143,11945.57142857143,12046.285714285714,12147,12247.714285714286
LANCASTER,1,1,1,3,0,8011,8000,7989,7978,7967
LANESBOROUGH,0,1,1,0,1,3041.285714285714,3028.8571428571427,3016.4285714285716,3004,2991.5714285714284
LAWRENCE,27,43,60,50,62,78159.85714285714,78605.57142857143,79051.28571428571,79497,79942.71428571429
LEE,0,1,0,2,1,5859,5838,5817,5796,5775
LEICESTER,0,1,1,2,2,11145.42857142857,11189.285714285714,11233.142857142857,11277,11320.857142857143
LENOX,0,0,0,1,1,5007.285714285715,5002.857142857143,4998.428571428572,4994,4989.571428571428
LEOMINSTER,20,22,30,28,24,41151.57142857143,41249.71428571428,41347.857142857145,41446,41544.142857142855
LEVERETT,0,0,0,1,0,1934.4285714285713,1955.2857142857142,1976.142857142857,1997,2017.857142857143
LEXINGTON,3,4,0,0,1,32505.428571428572,32783.28571428572,33061.142857142855,33339,33616.857142857145
LEYDEN,0,0,0,0,0,1805.4285714285713,1801.2857142857142,1797.142857142857,1793,1788.857142857143
LINCOLN,0,0,0,0,0,6552.857142857143,6600.571428571428,6648.285714285715,6696,6743.714285714285
LITTLETON,0,0,0,1,0,9398.285714285714,9516.857142857143,9635.42857142857,9754,9872.57142857143
LONGMEADOW,0,0,3,0,2,15836.57142857143,15849.714285714286,15862.857142857143,15876,15889.142857142857
LOWELL,53,67,78,59,72,109059,109694,110329,110964,111599
LUDLOW,1,0,3,6,3,21233.285714285714,21265.85714285714,21298.428571428572,21331,21363.571428571428
LUNENBURG,1,0,0,0,1,10694,10846,10998,11150,11302
LYNN,42,42,45,65,48,90674,91055,91436,91817,92198
LYNNFIELD,2,2,0,3,2,12245.142857142857,12407.42857142857,12569.714285714286,12732,12894.285714285714
MALDEN,5,12,8,9,13,60456.857142857145,60708.57142857143,60960.28571428572,61212,61463.71428571428
MANCHESTER,0,0,0,0,0,5245.142857142857,5272.428571428572,5299.714285714285,5327,5354.285714285715
MANSFIELD,1,1,6,4,2,23466.285714285714,23536.85714285714,23607.428571428572,23678,23748.571428571428
MARBLEHEAD,0,0,2,3,1,20142.285714285714,20225.85714285714,20309.428571428572,20393,20476.571428571428
MARION,1,0,1,1,1,4997.285714285715,5019.857142857143,5042.428571428572,5065,5087.571428571428
MARLBOROUGH,9,7,6,3,22,39225.857142857145,39407.57142857143,39589.28571428572,39771,39952.71428571428
MARSHFIELD,2,0,2,6,5,26387.85714285714,26460.571428571428,26533.285714285714,26606,26678.714285714286
MASHPEE,1,2,4,1,0,14032.57142857143,14039.714285714286,14046.857142857143,14054,14061.142857142857
MATTAPOISETT,0,0,2,1,4,6159.285714285715,6187.857142857143,6216.428571428572,6245,6273.571428571428
MAYNARD,1,1,0,1,1,10365.42857142857,10430.285714285714,10495.142857142857,10560,10624.857142857143
MEDFIELD,0,0,1,0,1,12358.857142857143,12442.57142857143,12526.285714285714,12610,12693.714285714286
MEDFORD,14,14,15,14,6,57045.57142857143,57263.71428571428,57481.857142857145,57700,57918.142857142855
MEDWAY,0,1,1,0,2,12986.285714285714,13044.857142857143,13103.42857142857,13162,13220.57142857143
MELROSE,12,17,21,19,19,27639.571428571428,27803.714285714286,27967.85714285714,28132,28296.14285714286
MENDON,0,1,0,0,1,5928.142857142857,5950.428571428572,5972.714285714285,5995,6017.285714285715
MERRIMAC,0,1,0,1,0,6574.571428571428,6633.714285714285,6692.857142857143,6752,6811.142857142857
METHUEN,20,12,14,14,11,48580.71428571428,48912.142857142855,49243.57142857143,49575,49906.42857142857
MIDDLEBOROUGH,3,6,3,5,4,23742.85714285714,23899.571428571428,24056.285714285714,24213,24369.714285714286
MIDDLEFIELD,0,0,0,0,0,1699.857142857143,1705.5714285714287,1711.2857142857142,1717,1722.7142857142858
MIDDLETON,0,1,0,1,1,9369.285714285714,9464.857142857143,9560.42857142857,9656,9751.57142857143
MILFORD,14,9,20,14,16,28359.571428571428,28449.714285714286,28539.85714285714,28630,28720.14285714286
MILLBURY,0,1,3,2,3,13409.57142857143,13446.714285714286,13483.857142857143,13521,13558.142857142857
MILLIS,2,0,3,1,1,8035.571428571428,8071.714285714285,8107.857142857143,8144,8180.142857142857
MILLVILLE,1,0,0,0,0,3216.8571428571427,3223.5714285714284,3230.285714285714,3237,3243.714285714286
MILTON,1,6,6,2,5,27302.428571428572,27377.285714285714,27452.14285714286,27527,27601.85714285714
MONSON,0,0,0,1,1,8698.857142857143,8733.57142857143,8768.285714285714,8803,8837.714285714286
MONTAGUE,3,2,3,0,1,7449.142857142857,7425.428571428572,7401.714285714285,7378,7354.285714285715
MONTEREY,0,0,0,0,0,828.4285714285714,795.2857142857143,762.1428571428571,729,695.8571428571429
MONTGOMERY,0,0,0,0,0,817.4285714285714,812.2857142857143,807.1428571428571,802,796.8571428571429
MOUNT WASHINGTON,0,0,0,0,0,1393.7142857142858,1394.142857142857,1394.5714285714287,1395,1395.4285714285713
NAHANT,0,0,0,1,0,2857,2876,2895,2914,2933
NANTUCKET,2,1,2,1,2,9992.285714285714,10077.857142857143,10163.42857142857,10249,10334.57142857143
NATICK,4,2,2,7,1,34692.28571428572,35113.857142857145,35535.42857142857,35957,36378.57142857143
NEEDHAM,0,1,2,1,0,29767.714285714286,29988.14285714286,30208.571428571428,30429,30649.428571428572
NEW ASHFORD,0,0,0,0,0,288.57142857142856,303.7142857142857,318.85714285714283,334,349.14285714285717
NEW BEDFORD,38,64,63,56,62,94418.28571428571,94431.85714285714,94445.42857142857,94459,94472.57142857143
NEW BRAINTREE,0,0,0,0,0,1140.7142857142858,1176.142857142857,1211.5714285714287,1247,1282.4285714285713
NEW MARLBOROUGH,1,0,0,0,0,1429.5714285714287,1409.7142857142858,1389.857142857143,1370,1350.142857142857
NEW SALEM,0,2,0,0,0,1006.5714285714286,1010.7142857142857,1014.8571428571429,1019,1023.1428571428571
NEWBURY,2,1,0,1,0,6836.285714285715,6878.857142857143,6921.428571428572,6964,7006.571428571428
NEWBURYPORT,5,4,11,7,7,17686.85714285714,17754.571428571428,17822.285714285714,17890,17957.714285714286
NEWTON,5,10,15,11,3,87050.57142857143,87526.71428571429,88002.85714285714,88479,88955.14285714286
NORFOLK,1,1,0,0,1,11480.714285714286,11544.142857142857,11607.57142857143,11671,11734.42857142857
NORTH ADAMS,7,6,4,5,4,13424,13353,13282,13211,13140
NORTH ANDOVER,2,1,1,1,1,29390.85714285714,29650.571428571428,29910.285714285714,30170,30429.714285714286
NORTH ATTLEBOROUGH,1,6,4,4,3,28895.428571428572,28941.285714285714,28987.14285714286,29033,29078.85714285714
NORTH BROOKFIELD,1,0,2,1,0,5959.571428571428,5948.714285714285,5937.857142857143,5927,5916.142857142857
NORTH READING,2,0,1,3,1,15295.42857142857,15396.285714285714,15497.142857142857,15598,15698.857142857143
NORTHAMPTON,11,3,14,8,13,28548.428571428572,28548.285714285714,28548.14285714286,28548,28547.85714285714
NORTHBOROUGH,0,0,1,0,0,14591,14700,14809,14918,15027
NORTHBRIDGE,2,1,1,3,3,15586.714285714286,15731.142857142857,15875.57142857143,16020,16164.42857142857
NORTHFIELD,0,0,0,0,1,3020.5714285714284,3017.714285714286,3014.8571428571427,3012,3009.1428571428573
NORTON,3,1,1,3,4,19307.571428571428,19376.714285714286,19445.85714285714,19515,19584.14285714286
NORWELL,1,3,1,1,1,9768.42857142857,9825.285714285714,9882.142857142857,9939,9995.857142857143
NORWOOD,9,17,14,17,12,28898.571428571428,28972.714285714286,29046.85714285714,29121,29195.14285714286
OAK BLUFFS,0,2,1,1,1,4611.571428571428,4632.714285714285,4653.857142857143,4675,4696.142857142857
OAKHAM,0,0,0,0,0,1871.7142857142858,1864.142857142857,1856.5714285714287,1849,1841.4285714285713
ORANGE,0,1,1,1,2,7761.285714285715,7741.857142857143,7722.428571428572,7703,7683.571428571428
ORLEANS,0,0,1,0,3,5047.428571428572,5041.285714285715,5035.142857142857,5029,5022.857142857143
OTIS,0,0,1,0,0,1592,1587,1582,1577,1572
OXFORD,2,1,3,1,0,13817,13844,13871,13898,13925
PALMER,4,2,5,6,7,12195.42857142857,12209.285714285714,12223.142857142857,12237,12250.857142857143
PAXTON,1,0,0,0,0,4828.285714285715,4833.857142857143,4839.428571428572,4845,4850.571428571428
PEABODY,10,13,11,12,9,52027.57142857143,52221.71428571428,52415.857142857145,52610,52804.142857142855
PELHAM,0,0,0,0,0,1295.857142857143,1289.5714285714287,1283.2857142857142,1277,1270.7142857142858
PEMBROKE,3,2,5,1,0,18061.571428571428,18117.714285714286,18173.85714285714,18230,18286.14285714286
PEPPERELL,1,2,2,1,2,11812.42857142857,11891.285714285714,11970.142857142857,12049,12127.857142857143
PERU,0,0,0,1,0,826.4285714285714,821.2857142857143,816.1428571428571,811,805.8571428571429
PETERSHAM,0,0,0,0,0,1224.857142857143,1222.5714285714287,1220.2857142857142,1218,1215.7142857142858
PHILLIPSTON,0,0,0,0,0,1658,1652,1646,1640,1634
PITTSFIELD,14,19,22,14,21,43909.57142857143,43702.71428571428,43495.857142857145,43289,43082.142857142855
PLAINFIELD,0,0,0,0,0,659.4285714285714,662.2857142857143,665.1428571428571,668,670.8571428571429
PLAINVILLE,3,2,1,2,0,8684.57142857143,8789.714285714286,8894.857142857143,9000,9105.142857142857
PLYMOUTH,19,21,26,23,15,55313.857142857145,55606.57142857143,55899.28571428572,56192,56484.71428571428
PLYMPTON,0,1,2,1,0,2872.5714285714284,2885.714285714286,2898.8571428571427,2912,2925.1428571428573
PRINCETON,1,1,1,0,1,3427.285714285714,3430.8571428571427,3434.4285714285716,3438,3441.5714285714284
PROVINCETOWN,2,1,0,1,0,2947.714285714286,2949.1428571428573,2950.5714285714284,2952,2953.4285714285716
QUINCY,39,43,36,37,35,90740.71428571429,91000.14285714286,91259.57142857143,91519,91778.42857142857
RANDOLPH,5,4,7,3,4,33021.71428571428,33249.142857142855,33476.57142857143,33704,33931.42857142857
RAYNHAM,1,1,0,2,1,13647,13713,13779,13845,13911
READING,2,2,4,4,1,25331,25477,25623,25769,25915
REHOBOTH,0,1,0,0,2,11826.285714285714,11880.857142857143,11935.42857142857,11990,12044.57142857143
REVERE,12,8,17,12,9,52960.142857142855,53261.42857142857,53562.71428571428,53864,54165.28571428572
RICHMOND,0,0,0,0,0,1501.2857142857142,1507.857142857143,1514.4285714285713,1521,1527.5714285714287
ROCHESTER,1,0,0,0,0,5363.428571428572,5396.285714285715,5429.142857142857,5462,5494.857142857143
ROCKLAND,2,3,10,10,8,17694.714285714286,17746.14285714286,17797.571428571428,17849,17900.428571428572
ROCKPORT,1,2,0,1,3,7084.571428571428,7117.714285714285,7150.857142857143,7184,7217.142857142857
ROWE,0,0,0,0,0,1120,1095,1070,1045,1020
ROWLEY,0,0,0,2,1,6070.857142857143,6124.571428571428,6178.285714285715,6232,6285.714285714285
ROYALSTON,0,0,0,0,0,1286,1293,1300,1307,1314
RUSSELL,0,0,0,0,0,1520.7142857142858,1457.142857142857,1393.5714285714287,1330,1266.4285714285713
RUTLAND,0,0,0,0,1,8253,8323,8393,8463,8533
SALEM,21,26,29,40,36,40539.42857142857,40731.28571428572,40923.142857142855,41115,41306.857142857145
SALISBURY,3,7,8,9,6,8704.714285714286,8810.142857142857,8915.57142857143,9021,9126.42857142857
SANDISFIELD,0,0,0,0,0,883,875,867,859,851
SANDWICH,0,2,4,1,4,20508.14285714286,20471.428571428572,20434.714285714286,20398,20361.285714285714
SAUGUS,7,2,8,4,11,27433.14285714286,27634.428571428572,27835.714285714286,28037,28238.285714285714
SAVOY,0,0,0,0,0,733.1428571428571,743.4285714285714,753.7142857142857,764,774.2857142857143
SCITUATE,1,4,2,0,1,18337.571428571428,18388.714285714286,18439.85714285714,18491,18542.14285714286
SEEKONK,2,1,1,1,1,14427.714285714286,14604.142857142857,14780.57142857143,14957,15133.42857142857
SHARON,1,0,1,1,1,17973.714285714286,18064.14285714286,18154.571428571428,18245,18335.428571428572
SHEFFIELD,0,0,0,0,1,3218.714285714286,3209.1428571428573,3199.5714285714284,3190,3180.4285714285716
SHELBURNE,1,0,0,0,0,1917,1923,1929,1935,1941
SHERBORN,1,1,1,1,1,4223.571428571428,4249.714285714285,4275.857142857143,4302,4328.142857142857
SHIRLEY,1,0,0,1,0,7417.285714285715,7468.857142857143,7520.428571428572,7572,7623.571428571428
SHREWSBURY,1,1,3,7,5,36241.142857142855,36399.42857142857,36557.71428571428,36716,36874.28571428572
SHUTESBURY,0,0,0,0,0,1760.142857142857,1757.4285714285713,1754.7142857142858,1752,1749.2857142857142
SOMERSET,1,1,1,2,2,18217.571428571428,18230.714285714286,18243.85714285714,18257,18270.14285714286
SOMERVILLE,14,15,19,12,8,78170.57142857143,78774.71428571429,79378.85714285714,79983,80587.14285714286
SOUTH HADLEY,0,1,2,1,0,17641.428571428572,17673.285714285714,17705.14285714286,17737,17768.85714285714
SOUTHAMPTON,0,0,1,0,0,5962.285714285715,6004.857142857143,6047.428571428572,6090,6132.571428571428
