city_death,year,death_rate_per10k,tot_pop_17,over_65_count,over_65_prop,med_house_inc,mean_house_inc,mean_med_inc_desp,drop_out,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,town_status,urb_v_rur,total_claims_count_avg,opioid_claim_count_avg,opioid_rate_avg,total_claim_count_sum,opioid_claim_count_sum,claim_per_65_and_over,opi_claim_per_65_and_over
abington,2013,0.0,16275,2469,0.15170506912442394,87156.0,98809.03550508946,11653.03550508946,3.452855245683931,5.405642963874483,0.03575398295665061,0.10040755835494627,grown,rural,2179.0833333333335,89.66666666666667,7.123602841360438,52298,2152.0,21.181855002025113,0.871607938436614
abington,2014,3.7055009043186735,16275,2469,0.15170506912442394,87156.0,98809.03550508946,11653.03550508946,3.452855245683931,5.405642963874483,0.03575398295665061,0.10040755835494627,grown,rural,1925.35,79.7,7.807532091500231,38507,1594.0,15.596192790603483,0.6456055083029567
abington,2015,0.6160073920887049,16275,2469,0.15170506912442394,87156.0,98809.03550508946,11653.03550508946,3.452855245683931,5.405642963874483,0.03575398295665061,0.10040755835494627,grown,rural,2408.9166666666665,64.04166666666667,6.627004471988012,57814,1537.0,23.415957877683272,0.6225192385581207
abington,2016,1.8433179723502304,16275,2469,0.15170506912442394,87156.0,98809.03550508946,11653.03550508946,3.452855245683931,5.405642963874483,0.03575398295665061,0.10040755835494627,grown,rural,2871.8571428571427,72.33333333333333,4.429928380422926,60309,1519.0,24.426488456865126,0.6152288375860673
abington,2017,3.0643960950838327,16275,2469,0.15170506912442394,87156.0,98809.03550508946,11653.03550508946,3.452855245683931,5.405642963874483,0.03575398295665061,0.10040755835494627,grown,rural,2498.8260869565215,67.43478260869566,5.274131394024845,57473,1551.0,23.27784528149048,0.6281895504252734
acton,2013,0.4386184771166475,23455,4001,0.17058196546578555,139890.46666666667,156680.20386671321,16789.737200046537,1.2195121951219512,2.456531155250294,0.03831466941262282,0.04174711460076372,grown,rural,1085.7592592592594,27.314814814814813,3.0149721428279643,58631,1475.0,14.654086478380405,0.3686578355411147
acton,2014,0.8689013983106074,23455,4001,0.17058196546578555,139890.46666666667,156680.20386671321,16789.737200046537,1.2195121951219512,2.456531155250294,0.03831466941262282,0.04174711460076372,grown,rural,1235.017857142857,30.339285714285715,4.815564226141457,69161,1699.0,17.28592851787053,0.42464383904023995
acton,2015,1.2910841417979269,23455,4001,0.17058196546578555,139890.46666666667,156680.20386671321,16789.737200046537,1.2195121951219512,2.456531155250294,0.03831466941262282,0.04174711460076372,grown,rural,1202.2545454545455,27.254545454545454,3.468488139804473,66124,1499.0,16.526868282929268,0.374656335916021
acton,2016,0.0,23455,4001,0.17058196546578555,139890.46666666667,156680.20386671321,16789.737200046537,1.2195121951219512,2.456531155250294,0.03831466941262282,0.04174711460076372,grown,rural,1315.6603773584907,24.41509433962264,2.4637412436413277,69730,1294.0,17.428142964258935,0.3234191452136966
acton,2017,0.42240942335079296,23455,4001,0.17058196546578555,139890.46666666667,156680.20386671321,16789.737200046537,1.2195121951219512,2.456531155250294,0.03831466941262282,0.04174711460076372,grown,rural,1407.4642857142858,25.125,2.5679953216610465,78818,1407.0,19.699575106223445,0.35166208447888025
adams,2013,2.401413403317381,8211,1764,0.21483375959079284,48445.4,60968.59465971088,12523.194659710878,6.906906906906907,11.862182116488926,0.11085394079668656,0.1445973931051285,shrunk,rural,3773.5,189.9,6.103997027072683,37735,1899.0,21.39172335600907,1.0765306122448979
adams,2014,3.619129685480397,8211,1764,0.21483375959079284,48445.4,60968.59465971088,12523.194659710878,6.906906906906907,11.862182116488926,0.11085394079668656,0.1445973931051285,shrunk,rural,3451.909090909091,187.0909090909091,6.097929564950508,37971,2058.0,21.525510204081634,1.1666666666666667
adams,2015,1.2121002233727554,8211,1764,0.21483375959079284,48445.4,60968.59465971088,12523.194659710878,6.906906906906907,11.862182116488926,0.11085394079668656,0.1445973931051285,shrunk,rural,4171.666666666667,236.33333333333334,3.069333732914891,37545,2127.0,21.284013605442176,1.2057823129251701
adams,2016,0.0,8211,1764,0.21483375959079284,48445.4,60968.59465971088,12523.194659710878,6.906906906906907,11.862182116488926,0.11085394079668656,0.1445973931051285,shrunk,rural,5288.75,268.875,3.0321314895493496,42310,2151.0,23.985260770975056,1.219387755102041
adams,2017,4.894848172298656,8211,1764,0.21483375959079284,48445.4,60968.59465971088,12523.194659710878,6.906906906906907,11.862182116488926,0.11085394079668656,0.1445973931051285,shrunk,rural,5555.875,268.25,9.252175693381538,44447,2146.0,25.19671201814059,1.2165532879818595
agawam,2013,0.35643362696674985,27769,6195,0.22309049659692465,65490.125,79464.23444558342,13974.109445583439,0.0,7.748863306568638,0.09481894150417827,0.14265552460538533,shrunk,rural,2461.9756097560976,113.85365853658537,7.192316841171984,100941,4668.0,16.29394673123487,0.7535108958837773
agawam,2014,0.7153039275294935,27769,6195,0.22309049659692465,65490.125,79464.23444558342,13974.109445583439,0.0,7.748863306568638,0.09481894150417827,0.14265552460538533,shrunk,rural,2464.625,104.7,8.872772981301308,98585,4188.0,15.9136400322841,0.6760290556900727
agawam,2015,0.0,27769,6195,0.22309049659692465,65490.125,79464.23444558342,13974.109445583439,0.0,7.748863306568638,0.09481894150417827,0.14265552460538533,shrunk,rural,2383.9,111.525,6.997970568802134,95356,4461.0,15.392413236481033,0.7200968523002421
