,town,x,y,2014,2015,2016,2017,2018
98,berkley,235402.13330711363,842972.7143657354,1,0,2,2,1
99,kingston,262282.8012214708,859802.2106618547,1,1,0,5,2
100,montague,116422.9196553917,923201.2076939914,3,2,3,0,1
101,tyngsborough,205815.1130617024,935062.495421418,1,2,1,2,4
102,malden,236406.39956804097,908981.9344144374,5,12,8,9,13
103,stoneham,233125.47151068773,913805.777634096,4,5,6,2,4
104,northampton,103194.5899724915,898016.0878558549,11,3,14,8,13
105,braintree,241080.13645048317,883801.715330898,4,7,7,10,6
106,scituate,261040.64816614924,883443.3229430306,1,4,2,0,1
107,bellingham,202144.82326417163,869705.452712465,2,2,1,1,2
108,dunstable,199955.41040794688,936203.0441503107,0,0,0,0,0
109,savoy,75291.62654876662,928411.0542470859,0,0,0,0,0
110,arlington,227662.04739032369,907625.693578489,5,4,2,1,2
111,hardwick,141091.1809529819,900722.1853394873,0,2,1,0,0
112,mount washington,37356.6629214741,873379.3830650038,0,0,0,0,0
113,ashby,173509.91592031842,936267.7500178386,1,0,0,1,0
114,hull,250927.30164299594,893195.3121649963,1,4,3,6,3
115,lawrence,227643.87693540895,938904.8535483875,27,43,60,50,62
116,ludlow,120868.57824190342,882851.0953522085,1,0,3,6,3
117,norfolk,214097.3315348453,874002.5916635494,1,1,0,0,1
118,whitman,246342.88494778573,870106.5432749183,1,3,1,1,1
119,clarksburg,68232.87481901354,943028.430506038,0,0,0,1,0
120,paxton,164300.271917076,895696.0941669608,1,0,0,0,0
121,westfield,96163.41687758402,877182.7946535981,8,4,16,8,16
122,salem,249004.5082321084,918045.157244917,21,26,29,40,36
123,marlborough,196141.95090140423,899879.551143726,9,7,6,3,22
124,belchertown,125735.0600803882,892419.9810594899,1,0,1,3,6
125,freetown,240448.26741747567,835760.7155096198,0,3,0,3,1
126,florida,75876.28192898477,937741.5605288256,0,0,0,0,0
127,worthington,81246.31813002001,905986.5748545165,0,0,0,0,0
128,norwell,256382.47407913074,879150.237547461,1,3,1,1,1
129,brewster,319133.7200471107,833902.5630419895,0,1,1,1,0
130,edgartown,280229.94180828886,792706.3034991117,0,0,0,0,1
131,clinton,184457.2307816371,906838.6108066055,5,8,6,2,6
132,stow,199055.5595675249,908811.9548119424,0,0,0,0,0
133,attleboro,217010.22657972397,853438.4594877604,15,17,23,40,16
134,harwich,319118.79742943414,828273.0448030056,0,3,1,1,1
135,stoughton,232918.2627313262,874386.1144432075,3,4,7,5,7
136,somerset,228594.57114430744,833311.2942936596,1,1,1,2,2
137,newbury,250976.91951021962,946887.0625268625,2,1,0,1,0
138,hanover,253197.42610114368,874864.5438471363,1,0,1,1,0
139,uxbridge,188575.6788813809,867659.8919701525,0,1,0,0,0
140,hadley,111913.23473993927,901121.1285662638,1,0,2,0,1
141,north adams,67515.46879591074,938346.3272616374,7,6,4,5,4
142,mansfield,223299.72689735045,862913.73073152,1,1,6,4,2
143,bernardston,114038.85909129893,938421.8969189344,0,0,0,0,0
144,dracut,216315.2762115809,936984.4408726199,3,7,4,3,7
145,shutesbury,124384.6307347947,912194.8724910412,0,0,0,0,0
146,franklin,207340.10237202092,870647.9866415809,1,1,5,1,4
147,westminster,166929.16706603204,922373.4038486423,0,1,0,1,0
148,leominster,177676.78884454892,918961.7093043227,20,22,30,28,24
149,revere,240890.8042029729,907666.3909883735,12,8,17,12,9
150,wrentham,211989.5653815595,866782.3187082079,1,2,1,2,1
151,avon,237269.89773644137,875235.8339071812,2,0,1,1,2
152,halifax,252760.03799587608,860309.397363873,0,0,0,1,2
153,newton,224030.08837191798,897942.2138430243,5,10,15,11,3
154,ipswich,253633.58562627688,937206.0089919132,3,3,2,4,4
155,cohasset,256125.5203141148,887433.3206596508,2,0,1,0,0
156,auburn,171483.30388096502,883033.6249612445,1,0,0,1,1
157,chicopee,111446.38364427374,881216.4211558426,5,8,16,10,17
158,hamilton,252669.59511503938,930875.2664586264,0,0,1,0,1
159,plymouth,272136.1387106566,847811.5644136948,19,21,26,23,15
160,barre,150115.31056778636,907909.530057215,0,0,0,0,1
161,bolton,191172.90441998508,909520.9154868971,0,0,1,1,0
162,orange,134920.74440275726,928745.383684901,0,1,1,1,2
163,dartmouth,241852.2803565459,818501.919287267,3,3,7,3,4
164,cummington,83251.92246276847,913484.3225834086,0,0,0,0,0
165,granby,117194.39528764348,890525.8898550789,1,0,1,0,0
166,lee,57022.60764974787,896066.5134356112,0,1,0,2,1
167,sterling,177542.0920216901,910115.6414216313,0,0,1,0,1
168,wilbraham,123037.26501359319,875593.8129056733,0,1,0,0,0
169,georgetown,242417.19079753343,941618.9128119817,0,1,1,1,1
170,carver,261737.2900718814,847329.0377290442,3,5,1,3,1
171,eastham,326313.8143677306,844584.4148473797,2,1,0,1,0
172,melrose,236273.70997415524,911770.161385646,12,17,21,19,19
173,manchester,259999.35636136468,926030.5441016335,0,0,0,0,0
174,pepperell,191459.0168615688,935630.5068792083,1,2,2,1,2
175,woburn,228423.70668358193,915206.1625765773,5,1,9,10,8
176,sutton,179307.4720299527,875951.2222994582,0,0,0,0,2
177,framingham,205214.4799318841,895341.115794698,13,17,20,14,25
178,warren,142138.55309071037,883539.8471434864,1,0,0,0,1
179,charlemont,88065.4432066181,933077.6609386721,0,0,0,0,0
180,west springfield,104895.56646996949,875629.9041008282,6,8,4,4,12
181,new braintree,148237.0971275864,896726.0509526916,0,0,0,0,0
182,dedham,226602.9308583284,888512.7959074085,2,2,4,0,6
183,princeton,168637.86730022376,911843.5185306306,1,1,1,0,1
184,lunenburg,181950.8103150739,926591.5146142786,1,0,0,0,1
185,groveland,239716.49291335564,944711.1386085676,0,0,1,1,0
186,millbury,177360.7597459258,882481.6869187534,0,1,3,2,3
187,pelham,124533.07172129757,903772.5073745532,0,0,0,0,0
188,wakefield,235705.1862690259,917086.5897952202,3,0,7,5,5
189,rockland,248778.74289683768,875620.431436208,2,3,10,10,8
190,seekonk,215163.04716991715,843067.5635672265,2,1,1,1,1
191,templeton,152906.20452786892,924387.064253536,1,1,3,0,1
192,palmer,132996.13579334406,882356.9716806082,4,2,5,6,7
193,foxborough,221011.27260799834,868060.736836173,1,1,5,1,3
194,lincoln,215747.12652716975,908473.4521381197,0,0,0,0,0
195,east bridgewater,246172.03323771557,865123.2330795742,0,0,1,1,3
196,lakeville,244907.3593620626,842443.4150236885,0,0,1,1,1
197,royalston,143768.95470300628,936928.2800850536,0,0,0,0,0
198,watertown,226568.7829067321,902213.1287968635,2,3,4,5,1
199,easton,232267.4715570479,865164.8524533736,4,4,3,3,4
200,natick,212396.4014906982,892703.5996506697,4,2,2,7,1
201,brockton,239368.8854335226,870293.3628796295,45,88,69,71,51
202,wendell,125678.90774720392,922947.3085287674,0,0,0,0,0
203,westford,204920.28880040094,926206.676741606,1,0,1,3,0
204,north reading,233856.42915638877,925748.246114668,2,0,1,3,1
205,tisbury,273627.2035838393,800683.7853588132,0,2,1,1,2
206,acton,205115.2671844106,914864.7519650356,1,2,3,0,1
207,middleton,239681.29062250178,928307.0286080209,0,1,0,1,1
208,tyringham,59913.790198502174,889935.8616551154,0,1,0,0,0
209,hingham,250790.11240633522,885252.5305506943,0,0,1,0,0
210,wilmington,227475.8695481059,923426.4180180851,1,4,2,4,2
211,richmond,46923.88878465368,905701.1488907902,0,0,0,0,0
212,douglas,179181.9629698827,866919.9137644845,0,2,2,1,1
213,abington,244734.47239115517,874322.473035403,0,6,1,3,5
214,chilmark,264582.84633422946,789485.7510393789,1,0,0,0,0
215,southwick,94168.38187556616,867905.6426223916,1,0,0,2,3
216,yarmouth,306230.3342438002,826162.8872235643,2,3,6,8,4
217,alford,41079.94165856969,890477.633817246,0,0,0,0,0
218,hanson,251955.9891149098,867453.6908434031,0,4,0,0,2
219,medway,205865.1537643166,878124.2640482074,0,1,1,0,2
220,west brookfield,145536.5407915383,889501.3769849448,0,0,0,0,0
221,new salem,131991.22917233262,911646.9018881938,0,2,0,0,0
222,chatham,326324.1193111446,825042.1097682838,1,1,0,0,0
223,waltham,221218.4099618391,904299.504195843,11,6,11,11,3
224,holbrook,240858.2987586016,877520.5515744324,2,3,1,5,4
225,holyoke,105778.65566685403,885302.9754860147,14,13,13,16,29
226,new ashford,58543.4608375853,930108.4241079452,0,0,0,0,0
227,new marlborough,56082.510578149406,873740.5018809496,1,0,0,0,0
228,montgomery,90977.0640386463,885132.7292906278,0,0,0,0,0
229,andover,227468.30617256585,932940.0750177074,5,2,3,2,2
230,east brookfield,154850.28320234077,883790.3893996509,0,0,0,0,0
231,north attleborough,213719.3161564587,857740.9389860368,1,6,4,4,3
232,weymouth,245651.21587843768,882864.7025126002,25,35,57,55,33
233,westhampton,94604.38505797289,896283.4726993965,0,0,0,0,0
234,west boylston,176562.18735244562,902092.9713069282,1,0,2,2,1
235,spencer,159406.69641604202,888635.7844313765,0,7,2,1,1
236,gill,117065.71054094814,931953.1842759143,1,0,0,0,0
237,dennis,311155.97347923403,829547.7986008152,4,3,4,2,2
238,leverett,118800.71249300812,914144.4169316218,0,0,0,1,0
239,phillipston,147812.30172206112,922661.0991436169,0,0,0,0,0
240,chelmsford,211233.58649988988,927719.6601282993,1,3,3,5,3
241,south hadley,110943.54611366383,890142.7598287796,0,1,2,1,0
242,williamsburg,98783.0404973439,906496.7891182116,0,0,0,0,1
243,brookfield,150078.005167464,882753.3424685997,0,0,0,2,1
244,leicester,165994.2837814745,887806.6389804983,0,1,1,2,2
245,hinsdale,67255.4899893119,910622.1131599162,1,0,0,0,0
