,city_death,tot_pop,pop_density,med_house_inc,mean_house_inc,less_than_hs_ed,mean_med_inc_desp,2014,2015,2016,2017,2018,Y14_Y15
92,fairhaven,16027,3507.61866,61017.92857142857,77926.4110411773,10.21426550473557,17404.047353133035,1,5,5,4,3,400.0
93,fall river,85548,11689.474891139242,42534.76,52921.97816363314,28.19047775977736,11210.530642214291,49,43,85,64,67,-12.244897959183673
94,falmouth,30702,1035.081532,71471.2,93642.8770682666,5.954463159368316,22171.677068266614,14,17,18,21,9,21.428571428571427
95,fitchburg,40666,5152.443868750001,54337.4,63333.75207768864,18.788436427376357,9801.585353160453,8,10,11,16,11,25.0
96,florida,816,33.49628,58125.0,65415.0887573965,9.106239460370995,7290.088757396501,0,0,0,0,0,
97,foxborough,17448,1275.8104727272728,107066.72727272728,126019.55188899943,4.033278650433328,18952.824616272173,1,1,5,1,3,0.0
98,framingham,71232,4704.415484444445,87307.09302325582,101024.97182394903,9.860725835211893,12669.713437854913,13,17,20,14,25,30.76923076923077
99,franklin,32843,2183.955364705882,123984.23529411765,141481.81914252765,3.7030023882963246,17497.583848410024,1,1,5,1,4,0.0
100,freetown,8273,284.70335,89442.2,104000.07019652899,11.353008635425454,14557.870196528975,0,3,0,3,1,
101,gardner,20496,2842.1568461538463,52498.769230769234,64262.28197533568,12.298152511828446,11763.512744566453,5,7,10,9,23,40.0
102,georgetown,8569,953.8694333333333,111417.6,120730.72919333876,2.9247588470122996,16519.325537057004,0,1,1,1,1,
103,gill,2537,1111.6718999999998,59096.0,68083.74721906155,3.9328771732034515,8987.747219061548,1,0,0,0,0,-100.0
104,gloucester,29858,5182.773486956522,69165.40909090909,88672.66177444228,9.557551680752841,20269.930491462364,3,11,9,17,16,266.66666666666663
105,goshen,1096,63.33606999999999,79519.0,87147.32142857139,4.034229828850855,7628.321428571391,1,0,0,0,0,-100.0
106,gosnold,34,2.57837,,130011.111111111,0.0,,0,0,0,0,0,
107,grafton,18517,1133.5026699999999,97829.4,119230.12450701997,4.310388312512884,21400.724507019964,1,2,0,0,2,100.0
108,granby,6318,267.036975,91346.75,101605.51874046682,7.4270726912390455,10258.768740466829,1,0,1,0,0,-100.0
109,granville,1660,39.3381,86000.0,93351.4802631579,4.056291390728477,7351.480263157893,0,0,0,0,0,
110,great barrington,6915,997.7307385714286,60402.57142857143,78518.03711829834,13.686744698372513,18115.465689726916,2,1,1,0,0,-50.0
111,greenfield,17474,2703.5156294117655,55142.875,66082.49615047923,7.867490717340361,12562.302497722014,4,10,5,4,11,150.0
112,groton,11282,355.46102,126234.0,146792.82837465982,1.913799117186017,20558.8283746598,0,1,0,1,0,
113,groveland,6697,1094.8297666666667,88044.66666666667,107540.31631587511,3.0922047702152415,19495.64964920846,0,0,1,1,0,
114,hadley,5301,325.11715000000004,59029.25,95609.56794337295,3.2585605080618203,36580.31794337295,1,0,2,0,1,-100.0
115,halifax,7739,635.69992,75419.4,89423.55635276136,4.996634968420816,14004.156352761358,0,0,0,1,2,
116,hamilton,7991,1714.5683142857142,106141.42857142857,128648.96137196808,1.5388568602871682,22507.532800539517,0,0,1,0,1,
117,hampden,5193,357.6955,78133.5,104080.36937571107,6.245404703000726,25946.869375711074,0,0,0,0,1,
118,hancock,639,17.91629,71875.0,81009.2,2.676864244741874,9134.199999999997,0,0,1,0,0,
119,hanover,14328,933.1831333333333,112872.85714285714,133937.48882754496,3.6342425881021785,23323.83798142153,1,0,1,1,0,-100.0
120,hanson,10560,848.4990874999999,99075.0,108669.20816992948,5.638440394936339,9594.208169929478,0,4,0,0,2,
121,hardwick,3024,233.72018,51364.5,66923.56302027474,7.096813243349574,15559.063020274749,0,2,1,0,0,
122,harvard,6542,246.60371666666666,127100.0,159227.27768032046,1.8268224443422472,32127.2776803205,0,0,0,0,1,
123,harwich,12143,633.6968750000001,69358.0,86593.95046827523,3.358978365102029,17235.950468275234,0,3,1,1,1,
124,hatfield,3305,304.7561,65251.333333333336,82340.07666685172,2.4013778690304743,17088.7433335184,2,1,0,1,0,-50.0
125,haverhill,62943,5664.614194999999,71798.56410256411,85567.05108108264,10.224987902116345,13687.510044311668,30,25,37,24,24,-16.666666666666664
126,hawley,976,22.51535,59167.0,71880.1507537688,9.433962264150944,12713.150753768801,0,0,0,0,0,
127,heath,1255,31.0496,52708.0,74171.4579055441,9.851088201603666,21463.4579055441,0,0,0,0,0,
128,hingham,23047,1597.9662,140785.91666666666,208382.657234833,1.5154294911464687,67596.74056816632,0,0,1,0,0,
129,hinsdale,1970,339.89241,61979.0,76834.9304029304,5.635245901639344,14855.9304029304,1,0,0,0,0,-100.0
130,holbrook,11029,1921.5339333333332,73617.0,88366.34945074013,5.123653346138673,12137.455480750888,2,3,1,5,4,50.0
131,holden,18558,1397.0921615384614,101361.84615384616,119425.81618146645,2.8986810836432153,18063.970027620257,2,1,2,0,1,-50.0
132,holland,2510,275.34355,78362.0,89840.3772933383,5.6685080249453925,11478.377293338293,0,0,0,0,0,
133,holliston,14480,958.4290090909091,120640.54545454546,145596.90139288077,3.789903850228872,24956.355938335313,0,1,1,0,1,
134,holyoke,40362,8533.356602702703,43044.77142857143,54372.23230075448,23.09975439226283,10574.31304238179,14,13,13,16,29,-7.142857142857142
135,hopedale,5955,1303.1204666666667,97991.66666666667,101931.1332725262,6.894932798681534,3939.4666058595344,0,0,2,0,1,
136,hopkinton,16720,860.7308428571429,154326.0,172252.30754504498,3.529303311216547,17926.307545044994,1,3,1,3,3,200.0
137,hubbardston,4581,106.00876,86577.0,100209.36739893,4.398572884811417,13632.36739893,1,0,0,0,1,-100.0
138,hudson,19843,2518.1962083333333,89813.75,103992.45396647388,9.358395111443953,14178.703966473879,0,4,2,2,3,
139,hull,7702,6313.324333333333,74927.16666666667,93830.8557983202,5.625718123656953,18903.68913165355,1,4,3,6,3,300.0
140,huntington,1977,119.850975,67639.0,69768.11280276816,7.199433297090705,2129.1128027681516,0,0,0,0,1,
141,ipswich,11242,1966.1850285714283,78064.85714285714,108553.08617595512,3.6481082840858856,30488.229033097967,3,3,2,4,4,0.0
142,kingston,13210,1140.638188888889,98433.55555555556,101512.57167575863,4.698771227234161,3079.01612020309,1,1,0,5,2,0.0
143,lakeville,12147,409.92819999999995,98286.85714285714,113849.48593262098,5.937362509952829,15562.628789763856,0,0,1,1,1,
144,lancaster,7978,598.10015,104127.75,119210.97012657573,10.529288685881367,15083.220126575725,1,1,1,3,0,0.0
145,lanesborough,3004,296.32092,78287.66666666667,84107.5009977259,3.7780218396126197,5819.834331059236,0,1,1,0,1,
146,lawrence,79497,18201.187963636363,41461.58490566038,51743.21006609063,32.730125768196906,10056.700057231908,27,43,60,50,62,59.25925925925925
147,lee,5796,569.8706666666667,75584.5,81195.74143944781,10.127934882019387,5611.241439447804,0,1,0,2,1,
148,leicester,11277,621.0040875,76786.25,92572.66143805902,9.183713007881623,15786.41143805901,0,1,1,2,2,
149,lenox,4994,556.9015471428571,73080.25,110833.09772057025,3.5391734441673526,24414.468204920875,0,0,0,1,1,
150,leominster,41446,3574.3109846153843,61588.28,76865.29848417762,13.961024585144806,16114.216009130318,20,22,30,28,24,10.0
151,leverett,1997,87.55906,87174.0,116107.701711491,2.7906976744186047,28933.701711490998,0,0,0,1,0,
152,lexington,33339,2492.6589863636364,161038.77272727274,210971.44125244682,1.9656376995196936,49932.6685251741,3,4,0,0,1,33.33333333333333
153,leyden,1793,62.06363,65588.0,81706.330749354,5.201465201465202,16118.330749354005,0,0,0,0,0,
154,lincoln,6696,775.7740000000001,148426.0,213715.05702346665,2.0158273308380634,65289.05702346666,0,0,0,0,0,
155,littleton,9754,902.4353000000001,122943.16666666667,138535.13646295425,2.9458333938071117,15591.969796287585,0,0,0,1,0,
156,longmeadow,15876,2014.1767750000001,119052.125,161068.55826624163,3.1841110953124865,42016.43326624161,0,0,3,0,2,
157,lowell,110964,12778.431537499999,53483.81081081081,65187.727190457575,20.93480645338069,12366.643274566648,53,67,78,59,72,26.41509433962264
158,ludlow,21331,2288.1957272727273,65449.818181818184,81658.65858677113,16.093591929682088,16208.840404952934,1,0,3,6,3,-100.0
159,lunenburg,11150,519.7881333333333,99216.66666666667,113492.99393410578,5.833764072278112,14276.327267439112,1,0,0,0,1,-100.0
160,lynn,91817,16677.71043943662,58308.16176470588,71631.29519947423,20.200665990762815,13497.952498547796,42,42,45,65,48,0.0
161,lynnfield,12732,1810.7782222222222,121269.11111111111,151298.3445936766,3.8308972857978705,30029.233482565483,2,2,0,3,2,0.0
162,malden,61212,15701.413076923072,66458.85416666667,78240.49060063821,13.919406488244896,11823.536899374483,5,12,8,9,13,140.0
163,manchester,5327,886.24058,113122.2,164876.5349338172,2.3766721301981684,51754.3349338172,0,0,0,0,0,
164,mansfield,23678,1966.651014285714,116948.35714285714,133365.61446226618,2.6069670940654452,16417.25731940903,1,1,6,4,2,0.0
165,marblehead,20393,5818.620150000001,118758.9,165125.03276142658,2.308314131838269,46366.13276142663,0,0,2,3,1,
166,marion,5065,572.40782,75592.0,131487.2134905387,6.085561560363607,55895.21349053871,1,0,1,1,1,-100.0
167,marlborough,39771,3963.6891952380947,78251.6,96155.64135300074,9.300486733687926,18449.5276460029,9,7,6,3,22,-22.22222222222222
168,marshfield,26606,1113.893872222222,101455.82352941176,126077.5184322551,4.150144585227361,24892.620356841566,2,0,2,6,5,-100.0
169,mashpee,14054,735.8350625,77576.75,95487.17513039685,3.218634961136291,17910.425130396863,1,2,4,1,0,100.0
170,mattapoisett,6245,580.0351833333333,87293.16666666667,127198.57445116533,2.6476324026458045,39905.40778449867,0,0,2,1,4,
171,maynard,10560,2903.5645285714286,94304.5,112975.78180588188,3.3485664894145777,14913.859196809382,1,1,0,1,1,0.0
172,medfield,12610,1021.7084142857142,169301.7142857143,216104.518189149,0.9490584704996694,46802.80390343471,0,0,1,0,1,
173,medford,57700,11598.979779245283,90832.72549019608,107221.1768391583,7.062895051451933,17283.593960314945,14,14,15,14,6,0.0
174,medway,13162,1328.766425,114977.25,134802.8961876275,3.7554802852520925,19825.64618762751,0,1,1,0,2,
175,melrose,28132,7800.636296296297,105212.25925925926,128222.23911978712,5.522772920084408,23009.979860527867,12,17,21,19,19,41.66666666666667
176,mendon,5995,376.3371,119551.0,140772.41228762866,2.8090090508049546,21221.412287628667,0,1,0,0,1,
177,merrimac,6752,1505.3074,95907.5,105801.36702747225,6.999379945407639,12018.4779339479,0,1,0,1,0,
178,methuen,49575,4753.633131428573,79581.14705882352,90551.0930649226,12.304541409812868,10919.802763809972,20,12,14,14,11,-40.0
179,middleborough,24213,1412.1524714285715,80831.85714285714,92297.737465395,4.5286021730865205,11465.88032253786,3,6,3,5,4,100.0
180,middlefield,1717,30.62665,75156.0,91585.8227848101,4.232804232804233,16429.822784810094,0,0,0,0,0,
181,middleton,9656,783.1445000000001,116976.25,151994.57026466698,5.816087824806039,35018.320264667,0,1,0,1,1,
182,milford,28630,4532.250400000002,78176.63157894737,87465.08411304899,10.462657660972994,9288.45253410162,14,9,20,14,16,-35.714285714285715
183,millbury,13521,1528.53631,81051.66666666667,93107.16533376314,8.14612208884617,15376.305871124334,0,1,3,2,3,
184,millis,8144,940.0251599999999,103077.4,123735.74321475202,2.809765707627059,20658.343214752,2,0,3,1,1,-100.0
185,millville,3237,795.7701999999999,88113.0,107415.88750250306,9.48087928058861,19302.88750250305,1,0,0,0,0,-100.0
186,milton,27527,4696.996764,133542.54545454544,158838.58808442406,4.1343632664111984,30041.962395263454,1,6,6,2,5,500.0
187,monson,8803,470.70445714285717,68176.57142857143,78692.45941594263,8.178988022355414,10515.887987371198,0,0,0,1,1,
188,montague,7378,1731.7333142857144,51799.71428571428,66277.64005575565,11.224444847293295,14477.925770041371,3,2,3,0,1,-33.33333333333333
189,monterey,729,27.58365,58661.0,95123.0136986301,4.5,36462.01369863009,0,0,0,0,0,
190,montgomery,802,53.02795,74000.0,91171.7391304348,3.3980582524271843,17171.7391304348,0,0,0,0,0,
191,mount washington,1395,34.10865,62396.0,97734.5697329377,5.077452667814113,35338.5697329377,0,0,0,0,0,
192,nahant,2914,3549.880333333333,87364.66666666667,135832.81210847432,3.225096416585778,48468.145441807654,0,0,0,1,0,
193,nantucket,10249,993.5950780000001,86421.7,130623.22824815587,5.087563106832578,44201.52824815586,2,1,2,1,2,-50.0
194,natick,35957,3624.077926923077,109483.30769230769,136271.43156163595,3.594046653081205,26788.12386932823,4,2,2,7,1,-50.0
195,needham,30429,3915.942443478261,147317.69565217392,208813.28485573086,2.105092810178593,61495.589203557,0,1,2,1,0,
196,new ashford,334,24.80493,84583.0,92367.21311475411,7.053941908713693,7784.213114754108,0,0,0,0,0,
197,new bedford,94459,12118.358910465116,43135.10843373494,54697.652239031595,27.062910309255415,11099.691370092043,38,64,63,56,62,68.42105263157895
198,new braintree,1247,59.98398,84432.0,104876.941176471,8.286674132138858,20444.941176470995,0,0,0,0,0,
199,new marlborough,1370,29.770110000000003,74392.5,101677.18502244726,6.633189481276819,27284.68502244725,1,0,0,0,0,-100.0
200,new salem,1019,22.76141,71908.0,86781.5242494226,5.3984575835475574,14873.524249422597,0,2,0,0,0,
201,newbury,6964,357.44775999999996,96529.2,117563.4642204083,3.0701846839663354,21034.264220408302,2,1,0,1,0,-50.0
202,newburyport,17890,4196.824142857143,94381.35714285714,124334.13572331595,3.102027446947673,29952.77858045881,5,4,11,7,7,-20.0
203,newton,88479,5905.825406250001,149031.34426229508,197806.46989359113,2.7851529142178584,48300.74232842089,5,10,15,11,3,100.0
204,norfolk,11671,771.60456,132350.0,151712.313602285,6.652411463249459,19362.313602284998,1,1,0,0,1,0.0
205,north adams,13211,2909.0482166666666,38909.75,50750.53756952176,15.006759755699003,11840.787569521759,7,6,4,5,4,-14.285714285714285
206,north andover,30170,2815.5870473684213,114866.8947368421,136334.85256374686,3.2851568305045937,21467.95782690474,2,1,1,1,1,-50.0
207,north attleborough,29033,3446.5503888888893,89261.375,102035.1712499474,6.865729229772708,14967.591688225099,1,6,4,4,3,500.0
208,north brookfield,5927,923.1261833333334,69356.83333333333,79899.06048946774,8.608117044698558,10542.2271561344,1,0,2,1,0,-100.0
209,north reading,15598,1378.520011111111,133057.44444444444,152656.15758299813,2.4895251259148314,19598.713138553663,2,0,1,3,1,-100.0
210,northampton,28548,3557.399347368422,67279.29411764706,89308.5848336992,5.672593324226886,22029.29071605214,11,3,14,8,13,-72.72727272727273
211,northborough,14918,1347.3169444444445,112497.75,146846.97689734946,5.091092532956164,31813.8254246125,0,0,1,0,0,
212,northbridge,16020,1447.3656857142855,71875.14285714286,91230.46871652857,7.892051077407112,19355.3258593857,2,1,1,3,3,-50.0
213,northfield,3012,94.412775,70086.0,82385.6850515674,5.215459162520729,12299.685051567401,0,0,0,0,1,
214,norton,19515,921.3082111111112,102776.44444444444,111742.50357047656,4.560988409962021,8966.059126032125,3,1,1,3,4,-66.66666666666666
215,norwell,9939,646.6564833333333,125842.33333333333,168226.5355112395,2.990612101976259,42384.202177906176,1,3,1,1,1,200.0
216,norwood,29121,4291.132952380953,89928.57142857143,107364.08239125418,5.449450509558862,17435.510962682736,9,17,14,17,12,88.88888888888889
217,oak bluffs,4675,1479.79924,70033.0,83237.64563420508,2.8538098475421974,13649.843844786797,0,2,1,1,1,
218,oakham,1849,88.76633000000001,85938.0,94425.47864506631,5.904334828101645,8487.478645066309,0,0,0,0,0,
219,orange,7703,643.9713157142858,46834.857142857145,56074.42170932257,12.57742294822708,9239.564566465426,0,1,1,1,2,
220,orleans,5029,581.0110833333333,59369.666666666664,80218.40274875671,1.536903353861631,20848.736082090032,0,0,1,0,3,
221,otis,1577,44.382315,67285.5,83345.32090090885,7.176513590748986,16059.820900908853,0,0,1,0,0,
222,oxford,13898,932.8795875,70002.125,79482.97169557039,7.660293707304881,9480.846695570386,2,1,3,1,0,-50.0
223,palmer,12237,758.5355333333332,61069.77777777778,70633.35969735074,7.091523694638412,9563.58191957297,4,2,5,6,7,-50.0
224,paxton,4845,446.18609999999995,106773.33333333333,117653.57305196008,2.3770333793021634,10880.239718626734,1,0,0,0,0,-100.0
225,peabody,52610,5891.933687500002,73472.4,85563.4918296147,10.95051807237042,13626.350243083027,10,13,11,12,9,30.0
226,pelham,1277,50.8535,92250.0,116789.122137405,2.277432712215321,24539.122137404993,0,0,0,0,0,
227,pembroke,18230,939.5870454545455,103864.90909090909,112210.48910989102,4.472659500547117,8345.580018981917,3,2,5,1,0,-33.33333333333333
