town,generic_name,year,total_claim_count,total_30_day_fill_count,total_day_supply,total_drug_cost
andover,diazepam,2017,128,147.7,4057,524.0899999999999
andover,lorazepam,2013,651,771.8,21494,6603.5599999999995
andover,lorazepam,2014,818,982.5,27306,7112.61
andover,lorazepam,2015,1048,1281.0,35700,8107.029999999999
andover,lorazepam,2016,943,1272.6999999999998,35993,8101.56
andover,lorazepam,2017,863,1163.5,33013,7411.070000000001
arlington,alprazolam,2013,367,456.0,13295,4604.669999999999
arlington,alprazolam,2014,417,507.0,14205,4009.459999999999
arlington,alprazolam,2015,338,418.3,11824,2206.5
arlington,alprazolam,2016,335,408.0,10983,1634.3300000000002
arlington,alprazolam,2017,392,465.5,13253,2008.7700000000002
arlington,diazepam,2013,290,313.3,8359,1752.48
arlington,diazepam,2014,272,295.7,8471,1450.33
arlington,diazepam,2015,306,348.5,10033,1270.8600000000001
arlington,diazepam,2016,293,334.6,9406,1209.3999999999999
arlington,diazepam,2017,315,359.8,9706,1462.0000000000002
arlington,lorazepam,2013,1104,1347.9,36369,9442.599999999999
arlington,lorazepam,2014,1283,1517.2,40418,9445.870000000003
arlington,lorazepam,2015,1265,1487.3999999999999,39627,8736.39
arlington,lorazepam,2016,1370,1634.2,42991,7487.229999999999
arlington,lorazepam,2017,1456,1710.2,45261,7198.719999999999
ashburnham,alprazolam,2013,12,12.0,311,359.4
ashburnham,alprazolam,2015,11,11.0,330,39.55
ashburnham,diazepam,2013,34,34.0,900,151.31
ashburnham,diazepam,2014,31,31.0,910,117.10000000000001
ashburnham,diazepam,2015,28,30.0,829,74.63
ashburnham,lorazepam,2013,212,222.0,5852,1388.1100000000001
ashburnham,lorazepam,2014,121,144.0,4231,633.79
ashburnham,lorazepam,2015,186,204.5,5590,742.6599999999999
ashburnham,lorazepam,2016,103,103.0,2604,226.10999999999999
ashburnham,lorazepam,2017,95,96.0,2287,206.94
ashfield,alprazolam,2013,69,75.0,1915,505.46000000000004
ashfield,alprazolam,2014,125,134.1,3514,958.56
ashfield,alprazolam,2015,132,150.5,3722,1025.87
ashfield,alprazolam,2016,78,93.0,2545,540.25
ashfield,diazepam,2013,74,74.0,1963,525.01
ashfield,diazepam,2014,108,110.0,2787,591.85
ashfield,diazepam,2015,96,102.0,2839,556.19
ashfield,diazepam,2016,68,68.0,1896,412.58
ashfield,lorazepam,2013,164,178.0,4492,1546.7800000000002
ashfield,lorazepam,2014,238,246.3,5925,1984.44
ashfield,lorazepam,2015,203,221.0,5954,1688.76
ashfield,lorazepam,2016,138,154.0,4312,753.54
ashland,alprazolam,2013,57,75.0,2102,301.54
ashland,alprazolam,2014,54,82.0,2315,241.96
ashland,alprazolam,2015,118,143.0,3692,355.65
ashland,alprazolam,2016,211,241.5,6277,796.05
ashland,alprazolam,2017,176,211.0,5783,641.19
ashland,diazepam,2016,26,26.0,724,56.03999999999999
ashland,diazepam,2017,31,31.0,790,63.02
ashland,lorazepam,2013,136,166.0,4065,743.8599999999999
ashland,lorazepam,2014,126,165.0,4001,522.97
ashland,lorazepam,2015,171,207.0,5321,705.9200000000001
ashland,lorazepam,2016,258,300.8,8037,915.41
ashland,lorazepam,2017,246,281.5,7206,891.2299999999999
athol,alprazolam,2013,202,202.0,5799,1798.73
athol,alprazolam,2014,177,179.0,4937,1152.74
athol,alprazolam,2015,327,327.7,8989,6214.759999999999
athol,alprazolam,2016,148,148.0,4181,947.4000000000001
athol,alprazolam,2017,159,161.0,4086,867.92
athol,diazepam,2013,221,233.0,6683,1807.5299999999997
athol,diazepam,2014,172,176.0,4814,1218.9099999999999
athol,diazepam,2015,163,163.0,4478,2094.47
athol,diazepam,2016,99,99.0,2814,274.93
athol,diazepam,2017,78,78.0,2084,329.68
athol,lorazepam,2013,539,561.5,15086,4265.639999999999
athol,lorazepam,2014,608,631.5,16456,3425.3900000000003
athol,lorazepam,2015,677,708.8,18651,4337.89
athol,lorazepam,2016,775,788.3,20649,4591.180000000001
athol,lorazepam,2017,437,455.0,11709,3111.41
attleboro,alprazolam,2013,787,843.3,22573,5620.160000000001
attleboro,alprazolam,2014,1122,1200.3999999999999,32825,7778.8099999999995
attleboro,alprazolam,2015,885,969.2,25894,7175.709999999999
attleboro,alprazolam,2016,812,907.4,24295,6042.759999999999
attleboro,alprazolam,2017,945,1035.5,27017,6742.099999999999
attleboro,diazepam,2013,359,385.2,10523,3601.26
attleboro,diazepam,2014,482,523.0,14450,3695.5299999999997
attleboro,diazepam,2015,470,510.7,13568,3770.4500000000003
attleboro,diazepam,2016,541,575.5,14567,2992.8799999999997
attleboro,diazepam,2017,676,707.8,16625,3799.02
attleboro,lorazepam,2013,1582,1658.2,42127,13635.04
attleboro,lorazepam,2014,2348,2456.1000000000004,62591,17506.149999999998
attleboro,lorazepam,2015,1993,2107.8,52579,13787.839999999998
attleboro,lorazepam,2016,2226,2369.0,58259,14051.089999999998
attleboro,lorazepam,2017,2283,2423.3,60463,13947.01
auburn,alprazolam,2013,741,866.2,24117,5923.330000000001
auburn,alprazolam,2014,895,1031.7,28520,9198.84
auburn,alprazolam,2015,873,981.3,27471,9359.580000000005
auburn,alprazolam,2016,860,992.0,27836,5066.969999999999
auburn,alprazolam,2017,889,1043.6,29014,5022.339999999999
auburn,diazepam,2013,588,638.5,16822,2954.039999999999
auburn,diazepam,2014,660,723.5,19658,2774.7599999999998
auburn,diazepam,2015,628,681.9000000000001,18066,2357.2299999999996
auburn,diazepam,2016,608,660.0,17701,2693.3600000000006
auburn,diazepam,2017,612,671.8,18058,10502.45
auburn,lorazepam,2013,2663,3065.9,83306,23111.829999999998
auburn,lorazepam,2014,3162,3611.5,97731,19402.669999999995
auburn,lorazepam,2015,2943,3340.8,90392,18049.379999999994
auburn,lorazepam,2016,2749,3181.5,85799,14385.869999999999
auburn,lorazepam,2017,2808,3285.1000000000004,89690,14911.02
avon,alprazolam,2013,82,84.0,2447,573.3199999999999
avon,alprazolam,2014,50,56.0,1650,308.93
avon,alprazolam,2015,42,50.0,1470,175.77
avon,alprazolam,2016,18,27.0,810,57.16
avon,diazepam,2013,11,11.0,290,52.69
avon,lorazepam,2013,108,122.0,3483,817.04
avon,lorazepam,2014,69,79.5,2333,619.52
avon,lorazepam,2015,59,72.0,2160,475.57
avon,lorazepam,2016,52,63.5,1811,241.33
avon,lorazepam,2017,35,45.0,1266,137.06
ayer,alprazolam,2013,63,77.0,2220,343.98
ayer,alprazolam,2014,85,86.5,2453,536.58
ayer,alprazolam,2015,34,37.5,1078,114.12
ayer,alprazolam,2016,55,55.0,1650,194.05
ayer,alprazolam,2017,65,65.0,1930,480.16
ayer,diazepam,2013,14,14.0,410,268.73
ayer,diazepam,2014,58,59.0,1625,359.6
ayer,diazepam,2016,49,57.0,1685,185.75
ayer,diazepam,2017,63,71.0,1936,271.35
ayer,lorazepam,2013,292,335.0,9474,2321.05
ayer,lorazepam,2014,215,251.0,7070,1510.92
ayer,lorazepam,2015,84,88.0,1860,663.71
ayer,lorazepam,2016,284,341.8,10069,1827.69
ayer,lorazepam,2017,290,354.0,10429,2295.42
barnstable,alprazolam,2013,2025,2267.7,62233,14728.079999999998
barnstable,alprazolam,2014,2762,3171.6000000000004,88009,18299.40999999999
barnstable,alprazolam,2015,2569,2979.400000000001,83184,21185.899999999998
barnstable,alprazolam,2016,3097,3589.0,97177,25454.059999999998
barnstable,alprazolam,2017,3279,3735.2999999999997,101447,28443.409999999996
barnstable,diazepam,2013,944,1012.9,26260,5073.990000000001
barnstable,diazepam,2014,1294,1405.6999999999998,36860,6437.550000000002
barnstable,diazepam,2015,963,1064.9,28175,10865.12
barnstable,diazepam,2016,1214,1315.5,33645,14720.140000000001
barnstable,diazepam,2017,1240,1346.8,34089,11232.800000000001
barnstable,lorazepam,2013,6037,6681.999999999999,174135,49132.149999999994
barnstable,lorazepam,2014,7009,7895.799999999999,208939,47942.8
barnstable,lorazepam,2015,6853,7737.699999999998,202639,42341.30999999999
barnstable,lorazepam,2016,8400,9484.900000000001,248457,49074.14
barnstable,lorazepam,2017,8619,9577.5,247755,48108.60000000002
