uniq_name,absenteeism,air_pollution_-_particulate_matter,binge_drinking,breast_cancer_deaths,cardiovascular_disease_deaths,children_in_poverty,colorectal_cancer_deaths,dental_care,diabetes,frequent_mental_distress,frequent_physical_distress,high_blood_pressure,high_school_graduation,"housing_cost,_excessive",housing_with_potential_lead_risk,income_inequality,lead_exposure_risk_index,life_expectancy,limited_access_to_healthy_foods,low_birthweight,neighborhood_racial/ethnic_segregation,obesity,opioid_overdose_deaths,park_access,physical_inactivity,premature_deaths_(all_causes),prenatal_care,preventive_services,racial/ethnic_diversity,smoking,teen_births,third-grade_reading_proficiency,unemployment,uninsured,violent_crime,walkability
MO_St. Louis,20.6,10.8,18.6,25.7,281.0,39.8,20.2,54.6,13.0,15.5,15.4,34.0,75.0,38.1,47.9,-25.1,10.0,74.0,47.2,13.0,32.0,36.7,46.5,94.5,28.8,12600.0,,31.2,65.0,24.9,29.4,38.5,9.4,14.8,2044.4,64.5
MS_Gulfport,14.5,9.1,12.6,32.0,352.5,36.9,22.3,55.1,12.6,15.0,14.6,40.8,87.1,40.6,11.0,-28.7,6.0,74.2,87.8,,12.7,39.1,9.2,30.8,30.2,11600.0,,31.5,62.1,24.0,,44.0,10.9,22.3,419.6,31.0
MS_Jackson,22.3,9.5,11.5,30.5,291.4,42.3,23.1,52.4,14.5,15.1,14.6,43.9,68.0,39.6,18.4,-30.0,8.0,75.2,75.9,15.6,29.0,43.6,3.7,31.2,32.5,11600.0,76.7,27.7,42.2,21.8,34.6,19.6,12.4,17.1,,27.6
MT_Billings,17.5,7.3,20.4,27.5,197.0,11.8,14.4,66.4,8.8,11.6,11.7,28.8,84.6,29.3,17.4,-7.2,4.0,78.4,77.5,8.0,7.3,29.5,6.5,71.7,21.3,8600.0,80.2,40.0,33.5,18.7,28.0,36.2,3.4,12.7,503.3,35.0
MT_Missoula,17.1,10.9,24.4,28.0,199.5,18.5,15.4,63.6,6.4,11.8,10.4,20.9,85.4,38.5,19.2,-19.4,7.0,78.9,68.4,,5.7,24.5,,75.2,16.8,7700.0,,37.1,28.0,18.5,,58.6,6.2,10.1,502.0,45.5
NC_Asheville,12.5,7.8,15.5,26.7,179.8,21.1,14.2,63.9,9.4,11.7,11.0,30.9,90.1,35.7,22.9,-13.2,7.0,77.9,73.6,,11.5,26.6,24.2,43.8,19.6,8000.0,,39.6,45.6,16.5,,64.2,4.4,13.7,,36.1
NC_Cary,11.8,10.3,17.9,19.3,135.9,7.3,9.6,75.5,6.9,9.7,7.8,25.2,92.3,21.7,3.3,28.3,1.0,81.7,65.3,7.0,11.9,23.4,6.5,36.4,14.4,3100.0,76.4,47.1,67.3,12.2,5.4,78.1,3.8,7.9,,25.6
NC_Charlotte,12.2,10.1,17.6,23.9,159.8,21.0,11.7,66.2,9.1,11.9,10.3,30.5,79.5,32.8,9.1,-0.9,3.0,78.5,68.7,9.9,19.1,29.1,10.6,35.7,19.1,6500.0,70.9,36.1,79.4,17.1,23.9,56.6,7.3,15.6,,25.9
NC_Concord,12.9,10.1,15.8,37.6,205.1,15.4,13.8,64.4,9.8,13.1,12.1,32.5,86.9,28.3,11.9,2.0,3.0,78.0,85.6,,10.3,33.1,25.3,12.2,24.0,8100.0,,36.3,64.7,19.7,,56.7,7.0,11.0,,21.4
NC_Durham,20.0,10.0,15.8,27.5,166.9,26.0,14.0,59.5,9.4,12.7,10.8,29.7,80.7,32.9,12.0,-5.5,4.0,79.0,76.0,8.8,16.5,30.7,7.1,50.7,22.2,6800.0,73.1,35.3,78.0,16.8,20.7,47.9,5.8,15.1,,29.1
NC_Fayetteville,15.2,9.5,15.6,29.0,243.4,29.3,14.5,63.7,11.0,14.0,11.7,34.6,78.5,38.6,9.2,-19.4,4.0,75.9,75.4,10.7,6.8,34.2,17.4,10.0,23.2,10000.0,74.6,35.4,77.1,18.9,32.0,55.9,10.8,13.2,,20.9
NC_Gastonia,22.9,9.9,13.8,25.2,226.5,29.2,17.9,55.5,12.6,14.4,15.0,37.6,84.7,36.0,16.2,-19.0,6.0,74.8,78.3,,13.2,33.8,21.6,25.0,27.7,10500.0,,33.4,59.8,21.5,,47.0,9.5,14.5,,23.0
NC_Greensboro,21.5,9.7,16.0,23.8,174.7,27.2,13.1,58.0,10.5,13.2,11.4,33.2,85.6,35.3,12.8,-15.5,5.0,78.9,76.9,9.7,19.1,35.5,12.2,62.1,22.9,7700.0,63.5,39.2,71.1,19.6,17.1,52.9,6.5,13.8,,29.1
NC_Greenville,21.2,8.4,18.6,27.6,199.9,34.9,13.8,60.0,8.7,15.1,10.9,27.6,81.0,44.6,6.8,-28.7,7.0,78.6,74.7,,11.5,33.3,17.6,33.2,22.1,8400.0,,35.0,65.5,20.0,,53.1,10.3,12.3,,33.2
NC_High Point,17.9,10.0,15.3,21.2,193.5,29.6,16.4,55.6,11.9,14.1,13.2,35.5,89.7,36.8,14.5,-15.0,6.0,77.3,77.7,10.8,15.5,36.3,17.0,42.4,25.8,7700.0,65.3,37.5,75.5,21.8,26.0,49.8,8.8,14.8,,25.9
NC_Jacksonville,12.7,7.7,23.7,36.6,220.2,19.4,13.7,67.1,5.8,13.8,8.7,22.0,86.8,43.7,9.1,-15.2,4.0,77.6,82.1,,3.8,24.8,9.2,18.3,19.4,8200.0,,35.7,72.1,19.5,,60.0,11.1,8.6,,24.2
NC_Raleigh,18.8,10.2,17.7,26.2,171.0,19.7,13.0,66.8,7.8,12.2,9.2,26.8,84.3,31.7,7.9,1.7,3.0,80.2,70.4,8.6,16.1,27.9,9.5,70.2,17.9,5700.0,67.8,43.1,72.3,15.6,16.0,63.5,5.0,13.0,,30.1
NC_Wilmington,11.0,7.5,16.6,27.9,224.1,29.9,9.9,63.2,9.7,13.5,11.8,29.1,85.2,40.9,14.6,-17.8,7.0,78.0,69.0,8.9,17.5,28.8,36.5,36.2,22.6,10100.0,72.5,38.4,51.9,19.2,15.8,59.4,7.5,13.7,,33.9
NC_Winston-Salem,31.4,9.3,15.2,26.3,186.1,35.0,15.9,58.1,11.8,14.1,12.9,35.3,81.1,34.4,16.2,-18.6,7.0,77.1,78.2,11.7,18.3,36.7,15.1,36.4,26.1,7900.0,74.7,36.5,71.1,20.1,22.6,43.6,8.2,15.5,,23.0
ND_Fargo,16.5,7.3,24.9,14.6,141.4,13.4,13.0,72.4,6.6,9.9,8.0,24.1,83.8,30.0,13.3,-10.3,4.0,80.8,71.1,6.8,9.5,32.0,9.1,81.8,17.7,6400.0,,38.8,36.6,16.6,11.4,48.3,3.2,8.5,428.6,44.0
NE_Lincoln,17.6,8.3,24.3,21.9,170.0,17.0,14.8,70.2,7.2,10.7,8.7,23.9,81.9,29.4,18.5,-8.3,6.0,79.5,64.1,7.0,11.7,28.7,2.9,88.4,19.9,5700.0,80.8,41.5,44.1,17.2,16.6,63.7,4.1,10.0,,42.7
NE_Omaha,22.0,8.9,21.7,25.2,172.1,21.4,15.8,67.0,8.9,11.1,10.8,29.4,82.7,31.5,24.3,-7.1,7.0,78.2,64.1,8.4,24.5,33.2,5.5,79.8,24.5,8000.0,74.5,38.1,61.5,19.6,26.0,58.1,4.8,12.5,656.6,45.1
