city_death,2014,2015,2016,2017,2018,tot_pop_13,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,over_65_count,over_65_prop,med_house_inc,mean_house_inc,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,urb_v_rur,town_status
east bridgewater,0,0,1,1,3,14625.714285714286,14684.285714285714,14742.857142857143,14801.42857142857,14860,2705,0.18203230148048452,91721.6,104749.52226688885,4.2623278099421045,0.0656260604004072,0.08693586698337293,rural,grown
east brookfield,0,0,0,0,0,901.1428571428571,914.8571428571429,928.5714285714286,942.2857142857143,956,166,0.17364016736401675,87917.0,113365.489130435,8.05084745762712,0.02510460251046025,0.100418410041841,rural,grown
east longmeadow,0,1,1,2,0,15906.857142857143,15969.142857142857,16031.42857142857,16093.714285714286,16156,3613,0.22363208715028474,82912.44444444444,98052.2911793245,5.677767150682549,0.045006674718708284,0.12529400546691247,rural,grown
eastham,2,1,0,1,0,4935.428571428572,4928.571428571428,4921.714285714285,4914.857142857143,4908,2242,0.45680521597392015,63265.333333333336,78360.21336767358,3.8499751614505713,0.06591375770020534,0.11478439425051334,rural,uncertain
easthampton,2,1,2,2,4,16052.142857142857,16051.857142857143,16051.57142857143,16051.285714285714,16051,3197,0.19917762133200423,64142.63636363636,76639.38825261303,5.088566827697263,0.10663581212083308,0.10488460816811558,rural,uncertain
easton,4,4,3,3,4,23493.0,23620.0,23747.0,23874.0,24001,3963,0.16511812007833007,109638.72727272728,128540.60581047097,4.006462035541196,0.04744856340070697,0.06272092812471676,rural,grown
edgartown,0,0,0,0,1,4163.428571428572,4195.571428571428,4227.714285714285,4259.857142857143,4292,746,0.17381174277726003,97503.5,196054.97580698578,3.2467532467532467,0.05105882352941177,0.124,rural,grown
erving,0,0,0,0,0,1561.4285714285713,1545.5714285714287,1529.7142857142858,1513.857142857143,1498,350,0.2336448598130841,67596.0,71068.6567164179,5.125899280575539,0.0938137321549966,0.08225696804894629,rural,shrunk
essex,0,0,0,0,0,3582.4285714285716,3608.5714285714284,3634.714285714286,3660.8571428571427,3687,749,0.20314618931380526,111547.66666666667,131712.14141911632,1.760428626100268,0.062040816326530614,0.07020408163265306,rural,grown
everett,35,43,40,34,28,43186.28571428572,43692.71428571428,44199.142857142855,44705.57142857143,45212,5667,0.12534282933734406,57043.96,70511.3952050871,20.107625672660454,0.1391298545308955,0.2032786155967792,rural,grown
fairhaven,1,5,5,4,3,15939.0,15961.0,15983.0,16005.0,16027,4022,0.25095151931116244,61017.92857142857,77926.4110411773,10.76845298281092,0.0914263793875072,0.12492807365257975,rural,grown
fall river,49,43,85,64,67,85232.57142857143,85311.42857142857,85390.28571428571,85469.14285714286,85548,15767,0.18430588675363538,42534.76,52921.97816363314,27.451178962647898,0.2043867683267714,0.23609805997311795,urban,grown
falmouth,14,17,18,21,9,30884.285714285714,30838.714285714286,30793.14285714286,30747.571428571428,30702,10759,0.3504331965344277,71471.2,93642.8770682666,6.174856520464162,0.06321381142098273,0.14282868525896414,rural,shrunk
fitchburg,8,10,11,16,11,40467.142857142855,40516.857142857145,40566.57142857143,40616.28571428572,40666,6653,0.16360104264004327,54337.4,63333.75207768864,17.597162245527453,0.1794997421351212,0.17496132026817948,rural,grown
florida,0,0,0,0,0,779.4285714285714,788.5714285714286,797.7142857142857,806.8571428571429,816,152,0.18627450980392157,58125.0,65415.0887573965,9.106239460370995,0.12990196078431374,0.12009803921568628,rural,uncertain
foxborough,1,1,5,1,3,17114.85714285714,17198.14285714286,17281.428571428572,17364.714285714286,17448,3193,0.18300091701054563,107066.72727272728,126019.55188899943,5.384986336601832,0.04877628403998621,0.0649775939331265,rural,grown
framingham,13,17,20,14,25,69566.85714285714,69983.14285714286,70399.42857142857,70815.71428571429,71232,11768,0.16520664869721474,87307.09302325582,101024.97182394903,10.334132243056535,0.1152448495149899,0.15070480321190985,urban,grown
franklin,1,1,5,1,4,32152.714285714286,32325.285714285714,32497.85714285714,32670.428571428572,32843,4386,0.13354443869317661,123984.23529411765,141481.81914252765,3.899919442733261,0.0434235368156073,0.05490874764002517,rural,grown
freetown,0,3,0,3,1,8134.142857142857,8168.857142857143,8203.57142857143,8238.285714285714,8273,1599,0.19327934243926023,89442.2,104000.07019652899,11.083540115798181,0.0506548060291574,0.10649864096861873,rural,grown
gardner,5,7,10,9,23,20342.85714285714,20381.14285714286,20419.428571428572,20457.714285714286,20496,3514,0.17144808743169399,52498.769230769234,64262.28197533568,12.272350993377483,0.1665202336038038,0.1702930383999173,rural,grown
georgetown,0,1,1,1,1,8348.42857142857,8403.57142857143,8458.714285714286,8513.857142857143,8569,1521,0.17750029174932896,111417.6,120730.72919333876,2.3781998348472335,0.03410816493400304,0.05011096834481953,rural,grown
gill,1,0,0,0,0,2454.714285714286,2475.285714285714,2495.8571428571427,2516.4285714285716,2537,683,0.26921560898699254,59096.0,68083.74721906155,3.3983008495752123,0.07385466034755134,0.16350710900473933,rural,grown
gloucester,3,11,9,17,16,29247.14285714286,29399.85714285714,29552.571428571428,29705.285714285714,29858,7011,0.23481144081988076,69165.40909090909,88672.66177444228,9.090509086109034,0.08465590599040994,0.1535422435334639,rural,grown
goshen,1,0,0,0,0,1072.0,1078.0,1084.0,1090.0,1096,208,0.1897810218978102,79519.0,87147.32142857139,4.034229828850855,0.023722627737226276,0.09215328467153285,rural,uncertain
gosnold,0,0,0,0,0,57.42857142857143,51.57142857142857,45.714285714285715,39.857142857142854,34,15,0.4411764705882353,,130011.111111111,0.0,0.058823529411764705,0.0,rural,uncertain
grafton,1,2,0,0,2,18087.285714285714,18194.714285714286,18302.14285714286,18409.571428571428,18517,2868,0.15488470054544473,97829.4,119230.12450701997,4.122442701122904,0.057493750679273994,0.06368872948592544,rural,grown
granby,1,0,1,0,0,6273.428571428572,6284.571428571428,6295.714285714285,6306.857142857143,6318,996,0.157644824311491,91346.75,101605.51874046682,7.369087837837838,0.05463258785942492,0.0853035143769968,rural,grown
granville,0,0,0,0,0,1606.2857142857142,1619.7142857142858,1633.142857142857,1646.5714285714287,1660,302,0.1819277108433735,86000.0,93351.4802631579,4.056291390728477,0.08394160583941605,0.06569343065693431,rural,grown
great barrington,2,1,1,0,0,7023.0,6996.0,6969.0,6942.0,6915,1521,0.21995661605206074,60402.57142857143,78518.03711829834,10.983783783783784,0.05176789037387921,0.17205210624259853,rural,shrunk
greenfield,4,10,5,4,11,17463.714285714286,17466.285714285714,17468.85714285714,17471.428571428572,17474,3795,0.21717981000343367,55142.875,66082.49615047923,7.492884068005231,0.13156801044944488,0.2159947752775634,rural,uncertain
groton,0,1,0,1,0,10918.57142857143,11009.42857142857,11100.285714285714,11191.142857142857,11282,1986,0.17603261833008332,126234.0,146792.82837465982,1.6835882277342245,0.04313270226826219,0.05652795141989641,rural,grown
groveland,0,0,1,1,0,6561.0,6595.0,6629.0,6663.0,6697,1246,0.1860534567716888,88044.66666666667,107540.31631587511,3.3140569395017794,0.024189935792145737,0.10527101687322682,rural,grown
hadley,1,0,2,0,1,5271.857142857143,5279.142857142857,5286.428571428572,5293.714285714285,5301,1460,0.27541973212601395,59029.25,95609.56794337295,3.7037037037037037,0.054221533694810226,0.16498838109992253,rural,uncertain
halifax,0,0,0,1,2,7612.714285714285,7644.285714285715,7675.857142857143,7707.428571428572,7739,1432,0.18503682646336736,75419.4,89423.55635276136,4.833394361039912,0.046239771398882974,0.10533835563060137,rural,grown
hamilton,0,0,1,0,1,7861.285714285715,7893.714285714285,7926.142857142857,7958.571428571428,7991,1294,0.16193217369540733,106141.42857142857,128648.96137196808,1.5627977892128835,0.10173824130879346,0.057387525562372185,rural,grown
hampden,0,0,0,0,1,5162.142857142857,5169.857142857143,5177.571428571428,5185.285714285715,5193,1378,0.2653572116310418,78133.5,104080.36937571107,6.480271753331591,0.04047946551385341,0.07702888583218707,rural,uncertain
hancock,0,0,1,0,0,683.5714285714286,672.4285714285714,661.2857142857143,650.1428571428571,639,150,0.2347417840375587,71875.0,81009.2,2.676864244741874,0.0297339593114241,0.06885758998435054,rural,shrunk
hanover,1,0,1,1,0,14071.42857142857,14135.57142857143,14199.714285714286,14263.857142857143,14328,2744,0.19151312116136238,112872.85714285714,133937.48882754496,3.583545377438507,0.03893081317441286,0.08181112913463573,rural,grown
hanson,0,4,0,0,2,10359.42857142857,10409.57142857143,10459.714285714286,10509.857142857143,10560,1885,0.17850378787878787,99075.0,108669.20816992948,5.879172861197459,0.03437143942271174,0.06560957083175085,rural,grown
hardwick,0,2,1,0,0,3004.5714285714284,3009.4285714285716,3014.285714285714,3019.1428571428573,3024,765,0.25297619047619047,51364.5,66923.56302027474,6.666666666666667,0.11980775832475112,0.18022657054582905,rural,uncertain
harvard,0,0,0,0,1,6529.428571428572,6532.571428571428,6535.714285714285,6538.857142857143,6542,1216,0.18587587893610516,127100.0,159227.27768032046,2.1867974657674227,0.052275635167245475,0.052092853226101264,rural,uncertain
harwich,0,3,1,1,1,12200.142857142857,12185.857142857143,12171.57142857143,12157.285714285714,12143,4561,0.3756073457959318,69358.0,86593.95046827523,3.7383177570093458,0.0668402048870602,0.13242085817448987,rural,shrunk
hatfield,2,1,0,1,0,3290.1428571428573,3293.8571428571427,3297.5714285714284,3301.285714285714,3305,1052,0.3183055975794251,65251.333333333336,82340.07666685172,2.6345083487940633,0.04357034795763994,0.0962178517397882,rural,uncertain
haverhill,30,25,37,24,24,61763.57142857143,62058.42857142857,62353.28571428572,62648.142857142855,62943,9035,0.14354257026198305,71798.56410256411,85567.05108108264,10.711898780853172,0.12575121163166397,0.1564135702746365,urban,grown
