city_death,tot_pop_17,over_65_count,tot_pop_10,shape_area,pop_density,med_house_inc,mean_house_inc,mean_med_inc_desp,drop_out,less_than_hs_ed,over_65_prop,at_or_below_pov_prop,pop_struggling_prop,2012,2013,2014,2015,2016,2017,2018,pop_change_rate,tot_pop_16,tot_pop_15,tot_pop_14,tot_pop_13,tot_pop_12,tot_pop_18,death_rate_12,death_rate_13,death_rate_14,death_rate_15,death_rate_16,death_rate_17,death_rate_18,town_status,urb_v_rur
abington,16275,2469,15985.0,26390847.0697,1932.96913,87156.0,98809.03550508946,11653.035505089461,3.452855245683931,5.405642963874484,0.15170506912442397,0.03575398295665061,0.10040755835494627,1,2,0,6,1,3,5,41.42857142857143,16233.57142857143,16192.142857142857,16150.714285714286,16109.285714285714,16067.857142857143,16316.42857142857,0.6223605245610135,1.2415199751696007,0.0,3.705500904318673,0.616007392088705,1.8433179723502304,3.064396095083833,grown,rural
acton,23455,4001,21924.0,52564532.792600006,1257.5835933333333,139890.46666666667,156680.2038667132,16789.737200046537,1.2195121951219512,2.456531155250294,0.17058196546578555,0.03831466941262282,0.04174711460076372,2,0,1,2,3,0,1,218.71428571428572,23236.285714285714,23017.571428571428,22798.85714285714,22580.14285714286,22361.428571428572,23673.714285714286,0.8943972401456589,0.0,0.4386184771166475,0.8689013983106074,1.2910841417979269,0.0,0.42240942335079296,grown,rural
acushnet,10443,2431,10303.0,48893374.4889,1152.3578714285716,69624.71428571429,80333.1758415636,10708.461555849315,10.99290780141844,18.297314996725607,0.23278751316671453,0.040828173374613,0.17840557275541796,2,0,0,4,2,4,0,20.0,10423.0,10403.0,10383.0,10363.0,10343.0,10463.0,1.9336749492410326,0.0,0.0,3.8450446986446214,1.9188333493236112,3.8303169587283348,0.0,grown,rural
adams,8211,1764,8485.0,59466489.588599995,1982.31884,48445.4,60968.59465971087,12523.19465971088,6.906906906906907,11.862182116488926,0.21483375959079284,0.11085394079668656,0.1445973931051285,1,1,2,3,1,0,4,-39.142857142857146,8250.142857142857,8289.285714285714,8328.42857142857,8367.57142857143,8406.714285714286,8171.857142857143,1.1895253793736298,1.1950898878322775,2.4014134033173815,3.6191296854803965,1.2121002233727554,0.0,4.894848172298656,shrunk,rural
agawam,27769,6195,28438.0,63021907.2593,1897.2735687500003,65490.125,79464.23444558342,13974.109445583439,0.0,7.748863306568637,0.22309049659692462,0.09481894150417827,0.14265552460538533,1,3,1,2,0,4,8,-95.57142857142857,27864.571428571428,27960.14285714286,28055.714285714286,28151.285714285714,28246.85714285714,27673.428571428572,0.3540216863570157,1.0656706874590858,0.35643362696674985,0.7153039275294935,0.0,1.4404551838380928,2.8908597210320366,shrunk,rural
alford,411,219,494.0,29871126.0729,35.74524,105625.0,148519.270833333,42894.270833332994,0.0,1.4534883720930232,0.5328467153284672,0.04866180048661801,0.024330900243309004,0,0,0,0,0,0,0,-11.857142857142858,422.85714285714283,434.7142857142857,446.57142857142856,458.42857142857144,470.2857142857143,399.14285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shrunk,rural
amesbury,17218,2949,16283.0,35547168.40030001,2659.783186666666,86335.33333333333,96920.17138143258,10584.83804809926,4.338153503893214,5.751708428246014,0.17127424788012546,0.04914077212806026,0.09021892655367232,1,1,0,6,1,4,6,133.57142857142858,17084.428571428572,16950.85714285714,16817.285714285714,16683.714285714286,16550.14285714286,17351.571428571428,0.6042243916755142,0.5993869128148922,0.0,3.539644012944984,0.5853283273824953,2.3231501916598907,3.457900066688073,grown,rural
amherst,39880,3465,37819.0,71882639.8808,3464.2671318181824,61203.94736842105,76166.45394901112,13789.900103617263,0.0,4.992163009404389,0.08688565697091274,0.3322599779679688,0.14867384119989832,0,2,1,1,3,1,2,294.42857142857144,39585.57142857143,39291.142857142855,38996.71428571428,38702.28571428572,38407.857142857145,40174.42857142857,0.0,0.5167653442395429,0.25643186055968087,0.2545102858514096,0.7578518868707573,0.25075225677031093,0.49782910949040077,grown,rural
andover,35375,5881,33201.0,83274583.62249997,1920.0495299999998,135314.05,174570.49906727744,39256.44906727747,1.3185878349638451,2.6285172577239626,0.16624734982332157,0.04442355153367023,0.044012222352802916,1,4,5,2,3,2,2,310.57142857142856,35064.42857142857,34753.857142857145,34443.28571428572,34132.71428571428,33822.142857142855,35685.57142857143,0.2956642943126861,1.1718962536987976,1.4516617379294328,0.5754756923178105,0.8555679137587543,0.5653710247349824,0.5604506022842365,grown,rural
aquinnah,640,66,311.0,14961880.7814,120.0165,80250.0,103304.316546763,23054.316546763002,14.545454545454545,9.667673716012084,0.103125,0.2171875,0.05,0,0,0,0,0,0,0,47.0,593.0,546.0,499.0,452.0,405.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,grown,rural
arlington,44992,8208,42844.0,14203937.827300001,9999.961454545453,117226.48837209302,141678.55759841323,23978.097527228874,2.1065675340768277,2.9699689749691256,0.18243243243243243,0.05175770323793327,0.0668620913423885,4,3,5,4,2,1,2,306.85714285714283,44685.142857142855,44378.28571428572,44071.42857142857,43764.57142857143,43457.71428571428,45298.857142857145,0.9204349712692799,0.6854859769154437,1.1345218800648298,0.901341711519147,0.4475760559597949,0.22226173541963018,0.44151224250375287,grown,rural
