,city_death,year,death_count_next_year,over_65_count,over_65_prop,med_house_inc,mean_house_inc,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,urb_v_rur,town_status
0,abington,2013,0,2469,0.15170506912442394,87156.0,98809.03550508946,5.405642963874483,0.03575398295665061,0.10040755835494627,rural,grown
1,abington,2014,6,2469,0.15170506912442394,87156.0,98809.03550508946,5.405642963874483,0.03575398295665061,0.10040755835494627,rural,grown
2,abington,2015,1,2469,0.15170506912442394,87156.0,98809.03550508946,5.405642963874483,0.03575398295665061,0.10040755835494627,rural,grown
3,abington,2016,3,2469,0.15170506912442394,87156.0,98809.03550508946,5.405642963874483,0.03575398295665061,0.10040755835494627,rural,grown
4,abington,2017,5,2469,0.15170506912442394,87156.0,98809.03550508946,5.405642963874483,0.03575398295665061,0.10040755835494627,rural,grown
5,acton,2013,1,4001,0.17058196546578555,139890.46666666667,156680.20386671321,2.456531155250294,0.03831466941262282,0.04174711460076372,rural,grown
6,acton,2014,2,4001,0.17058196546578555,139890.46666666667,156680.20386671321,2.456531155250294,0.03831466941262282,0.04174711460076372,rural,grown
7,acton,2015,3,4001,0.17058196546578555,139890.46666666667,156680.20386671321,2.456531155250294,0.03831466941262282,0.04174711460076372,rural,grown
8,acton,2016,0,4001,0.17058196546578555,139890.46666666667,156680.20386671321,2.456531155250294,0.03831466941262282,0.04174711460076372,rural,grown
9,acton,2017,1,4001,0.17058196546578555,139890.46666666667,156680.20386671321,2.456531155250294,0.03831466941262282,0.04174711460076372,rural,grown
10,acushnet,2013,0,2431,0.2327875131667145,69624.71428571429,80333.1758415636,18.29731499672561,0.040828173374612996,0.17840557275541796,rural,grown
11,acushnet,2014,4,2431,0.2327875131667145,69624.71428571429,80333.1758415636,18.29731499672561,0.040828173374612996,0.17840557275541796,rural,grown
12,acushnet,2015,2,2431,0.2327875131667145,69624.71428571429,80333.1758415636,18.29731499672561,0.040828173374612996,0.17840557275541796,rural,grown
13,acushnet,2016,4,2431,0.2327875131667145,69624.71428571429,80333.1758415636,18.29731499672561,0.040828173374612996,0.17840557275541796,rural,grown
14,acushnet,2017,0,2431,0.2327875131667145,69624.71428571429,80333.1758415636,18.29731499672561,0.040828173374612996,0.17840557275541796,rural,grown
15,adams,2013,2,1764,0.21483375959079284,48445.4,60968.59465971088,11.862182116488926,0.11085394079668656,0.1445973931051285,rural,shrunk
16,adams,2014,3,1764,0.21483375959079284,48445.4,60968.59465971088,11.862182116488926,0.11085394079668656,0.1445973931051285,rural,shrunk
17,adams,2015,1,1764,0.21483375959079284,48445.4,60968.59465971088,11.862182116488926,0.11085394079668656,0.1445973931051285,rural,shrunk
18,adams,2016,0,1764,0.21483375959079284,48445.4,60968.59465971088,11.862182116488926,0.11085394079668656,0.1445973931051285,rural,shrunk
19,adams,2017,4,1764,0.21483375959079284,48445.4,60968.59465971088,11.862182116488926,0.11085394079668656,0.1445973931051285,rural,shrunk
20,agawam,2013,1,6195,0.22309049659692465,65490.125,79464.23444558342,7.748863306568638,0.09481894150417827,0.14265552460538533,rural,grown
21,agawam,2014,2,6195,0.22309049659692465,65490.125,79464.23444558342,7.748863306568638,0.09481894150417827,0.14265552460538533,rural,grown
22,agawam,2015,0,6195,0.22309049659692465,65490.125,79464.23444558342,7.748863306568638,0.09481894150417827,0.14265552460538533,rural,grown
23,agawam,2016,4,6195,0.22309049659692465,65490.125,79464.23444558342,7.748863306568638,0.09481894150417827,0.14265552460538533,rural,grown
24,agawam,2017,8,6195,0.22309049659692465,65490.125,79464.23444558342,7.748863306568638,0.09481894150417827,0.14265552460538533,rural,grown
25,alford,2013,0,219,0.5328467153284672,105625.0,148519.270833333,1.4534883720930232,0.048661800486618015,0.024330900243309004,rural,shrunk
26,alford,2014,0,219,0.5328467153284672,105625.0,148519.270833333,1.4534883720930232,0.048661800486618015,0.024330900243309004,rural,shrunk
27,alford,2015,0,219,0.5328467153284672,105625.0,148519.270833333,1.4534883720930232,0.048661800486618015,0.024330900243309004,rural,shrunk
28,alford,2016,0,219,0.5328467153284672,105625.0,148519.270833333,1.4534883720930232,0.048661800486618015,0.024330900243309004,rural,shrunk
29,alford,2017,0,219,0.5328467153284672,105625.0,148519.270833333,1.4534883720930232,0.048661800486618015,0.024330900243309004,rural,shrunk
30,amesbury,2013,0,2949,0.17127424788012546,86335.33333333331,96920.17138143258,5.7517084282460145,0.04914077212806026,0.09021892655367232,rural,grown
31,amesbury,2014,6,2949,0.17127424788012546,86335.33333333331,96920.17138143258,5.7517084282460145,0.04914077212806026,0.09021892655367232,rural,grown
32,amesbury,2015,1,2949,0.17127424788012546,86335.33333333331,96920.17138143258,5.7517084282460145,0.04914077212806026,0.09021892655367232,rural,grown
33,amesbury,2016,4,2949,0.17127424788012546,86335.33333333331,96920.17138143258,5.7517084282460145,0.04914077212806026,0.09021892655367232,rural,grown
34,amesbury,2017,6,2949,0.17127424788012546,86335.33333333331,96920.17138143258,5.7517084282460145,0.04914077212806026,0.09021892655367232,rural,grown
35,amherst,2013,1,3465,0.08688565697091273,61203.94736842105,76166.45394901112,4.992163009404389,0.3322599779679688,0.14867384119989832,rural,grown
36,amherst,2014,1,3465,0.08688565697091273,61203.94736842105,76166.45394901112,4.992163009404389,0.3322599779679688,0.14867384119989832,rural,grown
37,amherst,2015,3,3465,0.08688565697091273,61203.94736842105,76166.45394901112,4.992163009404389,0.3322599779679688,0.14867384119989832,rural,grown
